Accuracy,RMSE,Fscore,PRC,AUC,SAR,Dataset,nInstances,nClasses,nAttributes,Algorithm,runTime,CPUtime
85.79,0.34,0.84,0.81,0.74,29.06,FICA4hepatitis,155,2,4,DecisionStump,105,151121714
79.38,0.45,0.7,0.67,0.5,26.81,FICA4hepatitis,155,2,4,LibSVM,402,457016764
83.17,0.36,0.82,0.9,0.84,28.22,FICA4hepatitis,155,2,4,MultilayerPerceptron,1106,1570836565
87.75,0.31,0.87,0.93,0.89,29.78,FICA4hepatitis,155,2,4,Logistic,128,1708286896
87.12,0.31,0.86,0.91,0.85,29.55,FICA4hepatitis,155,2,4,SimpleLogistic,544,2219609842
85.88,0.37,0.83,0.78,0.69,29.07,FICA4hepatitis,155,2,4,SMO,193,2381548359
80.67,0.42,0.8,0.78,0.7,27.31,FICA4hepatitis,155,2,4,IBk,190,2553537009
77.46,0.42,0.75,0.83,0.73,26.26,FICA4hepatitis,155,2,4,KStar,278,2830604384
85.83,0.32,0.85,0.91,0.86,29.12,FICA4hepatitis,155,2,4,LWL,134,2961754015
85.17,0.34,0.83,0.82,0.75,28.86,FICA4hepatitis,155,2,4,BayesNet,67,3045255486
89.08,0.3,0.88,0.92,0.87,30.22,FICA4hepatitis,155,2,4,NaiveBayes,29,3081517359
89.08,0.3,0.88,0.92,0.87,30.22,FICA4hepatitis,155,2,4,NaiveBayesUpdateable,50,3126850990
85.79,0.33,0.84,0.9,0.84,29.1,FICA4hepatitis,155,2,4,AdaBoostM1,180,3309246124
86.46,0.32,0.85,0.88,0.8,29.31,FICA4hepatitis,155,2,4,Bagging,322,3613750698
79.38,0.4,0.7,0.67,0.5,26.82,FICA4hepatitis,155,2,4,Stacking,27,3653583977
83.88,0.33,0.82,0.91,0.87,28.47,FICA4hepatitis,155,2,4,LogitBoost,274,3881465854
79.38,0.4,0.7,0.67,0.5,26.82,FICA4hepatitis,155,2,4,Vote,3,3885120571
85.17,0.34,0.83,0.82,0.75,28.86,FICA4hepatitis,155,2,4,DecisionTable,117,4005490773
83.83,0.35,0.83,0.81,0.73,28.41,FICA4hepatitis,155,2,4,JRip,210,4189649583
88.46,0.3,0.87,0.83,0.75,29.97,FICA4hepatitis,155,2,4,OneR,32,4223837210
