Accuracy,RMSE,Fscore,PRC,AUC,SAR,Dataset,nInstances,nClasses,nAttributes,Algorithm,runTime,CPUtime
26.79,0.3,0.14,0.19,0.64,9.38,PCA4JapaneseVowel,9961,9,4,DecisionStump,434,675720467
76.06,0.23,0.76,0.62,0.86,25.9,PCA4JapaneseVowel,9961,9,4,LibSVM,42288,42863419751
66.07,0.22,0.64,0.71,0.92,22.59,PCA4JapaneseVowel,9961,9,4,MultilayerPerceptron,186273,2.29E+11
60.28,0.23,0.58,0.65,0.91,20.65,PCA4JapaneseVowel,9961,9,4,Logistic,19888,2.49E+11
60.19,0.23,0.58,0.65,0.91,20.62,PCA4JapaneseVowel,9961,9,4,SimpleLogistic,52765,3.01E+11
61.79,0.29,0.59,0.52,0.88,21.13,PCA4JapaneseVowel,9961,9,4,SMO,7190,3.08E+11
69.96,0.26,0.7,0.55,0.83,23.85,PCA4JapaneseVowel,9961,9,4,IBk,5195,3.14E+11
74.67,0.2,0.74,0.81,0.96,25.48,PCA4JapaneseVowel,9961,9,4,KStar,1300349,1.61E+12
46.19,0.28,0.38,0.54,0.86,15.92,PCA4JapaneseVowel,9961,9,4,LWL,362585,1.97E+12
60.62,0.24,0.6,0.64,0.91,20.76,PCA4JapaneseVowel,9961,9,4,BayesNet,891,1.97E+12
60.85,0.24,0.59,0.65,0.91,20.84,PCA4JapaneseVowel,9961,9,4,NaiveBayes,378,1.98E+12
60.85,0.24,0.59,0.65,0.91,20.84,PCA4JapaneseVowel,9961,9,4,NaiveBayesUpdateable,200,1.98E+12
26.79,0.3,0.14,0.19,0.64,9.38,PCA4JapaneseVowel,9961,9,4,AdaBoostM1,266,1.98E+12
73.45,0.2,0.73,0.8,0.96,25.07,PCA4JapaneseVowel,9961,9,4,Bagging,6188,1.98E+12
16.2,0.31,0.05,0.12,0.5,5.8,PCA4JapaneseVowel,9961,9,4,Stacking,197,1.98E+12
61.5,0.24,0.61,0.66,0.92,21.06,PCA4JapaneseVowel,9961,9,4,LogitBoost,10051,1.99E+12
16.2,0.31,0.05,0.12,0.5,5.8,PCA4JapaneseVowel,9961,9,4,Vote,39,1.99E+12
60.69,0.26,0.61,0.63,0.9,20.77,PCA4JapaneseVowel,9961,9,4,DecisionTable,2991,1.99E+12
62.12,0.24,0.61,0.55,0.87,21.25,PCA4JapaneseVowel,9961,9,4,JRip,41075,2.04E+12
30.21,0.39,0.27,0.2,0.6,10.47,PCA4JapaneseVowel,9961,9,4,OneR,347,2.04E+12
16.2,0.31,0.05,0.12,0.5,5.8,PCA4JapaneseVowel,9961,9,4,ZeroR,13,2.04E+12
69.51,0.24,0.69,0.65,0.88,23.72,PCA4JapaneseVowel,9961,9,4,PART,37802,2.07E+12
71.92,0.21,0.72,0.74,0.93,24.55,PCA4JapaneseVowel,9961,9,4,RandomCommittee,8078,2.08E+12
70.03,0.24,0.7,0.63,0.87,23.89,PCA4JapaneseVowel,9961,9,4,J48,3325,2.09E+12
72.68,0.2,0.72,0.78,0.95,24.81,PCA4JapaneseVowel,9961,9,4,LMT,316577,2.40E+12
74.86,0.19,0.75,0.81,0.96,25.54,PCA4JapaneseVowel,9961,9,4,RandomForest,54268,2.45E+12
67.29,0.27,0.67,0.52,0.82,22.95,PCA4JapaneseVowel,9961,9,4,RandomTree,1045,2.45E+12
69.32,0.22,0.69,0.7,0.92,23.67,PCA4JapaneseVowel,9961,9,4,REPTree,702,2.45E+12
77.97,0.41,0.77,0.71,0.73,26.43,PCA4horse-colic,368,2,4,DecisionStump,3,2.45E+12
74.42,0.5,0.73,0.68,0.7,25.21,PCA4horse-colic,368,2,4,LibSVM,265,2.45E+12
73.38,0.42,0.72,0.81,0.78,24.91,PCA4horse-colic,368,2,4,MultilayerPerceptron,2189,2.46E+12
75.27,0.41,0.75,0.81,0.79,25.55,PCA4horse-colic,368,2,4,Logistic,51,2.46E+12
75.26,0.42,0.74,0.82,0.79,25.55,PCA4horse-colic,368,2,4,SimpleLogistic,429,2.46E+12
74.45,0.5,0.73,0.68,0.7,25.22,PCA4horse-colic,368,2,4,SMO,57,2.46E+12
65.2,0.59,0.65,0.62,0.63,22.08,PCA4horse-colic,368,2,4,IBk,11,2.46E+12
69.02,0.47,0.69,0.75,0.72,23.42,PCA4horse-colic,368,2,4,KStar,1155,2.46E+12
78.24,0.41,0.77,0.8,0.78,26.54,PCA4horse-colic,368,2,4,LWL,250,2.46E+12
77.97,0.42,0.77,0.73,0.75,26.44,PCA4horse-colic,368,2,4,BayesNet,33,2.46E+12
75.26,0.42,0.75,0.81,0.78,25.54,PCA4horse-colic,368,2,4,NaiveBayes,3,2.46E+12
75.26,0.42,0.75,0.81,0.78,25.54,PCA4horse-colic,368,2,4,NaiveBayesUpdateable,3,2.46E+12
77.16,0.4,0.76,0.8,0.8,26.19,PCA4horse-colic,368,2,4,AdaBoostM1,95,2.46E+12
76.1,0.41,0.75,0.81,0.79,25.83,PCA4horse-colic,368,2,4,Bagging,123,2.46E+12
63.05,0.48,0.49,0.53,0.5,21.36,PCA4horse-colic,368,2,4,Stacking,13,2.46E+12
77.45,0.41,0.76,0.8,0.79,26.28,PCA4horse-colic,368,2,4,LogitBoost,78,2.46E+12
63.05,0.48,0.49,0.53,0.5,21.36,PCA4horse-colic,368,2,4,Vote,3,2.46E+12
77.97,0.41,0.77,0.71,0.73,26.43,PCA4horse-colic,368,2,4,DecisionTable,63,2.46E+12
76.34,0.42,0.75,0.69,0.71,25.88,PCA4horse-colic,368,2,4,JRip,88,2.46E+12
74.18,0.5,0.74,0.68,0.71,25.13,PCA4horse-colic,368,2,4,OneR,5,2.46E+12
63.05,0.48,0.49,0.53,0.5,21.36,PCA4horse-colic,368,2,4,ZeroR,1,2.46E+12
76.89,0.42,0.76,0.7,0.72,26.06,PCA4horse-colic,368,2,4,PART,16,2.46E+12
71.18,0.45,0.71,0.76,0.76,24.16,PCA4horse-colic,368,2,4,RandomCommittee,177,2.46E+12
76.35,0.43,0.75,0.69,0.7,25.87,PCA4horse-colic,368,2,4,J48,10,2.46E+12
76.09,0.41,0.75,0.82,0.79,25.82,PCA4horse-colic,368,2,4,LMT,615,2.46E+12
77.72,0.42,0.77,0.79,0.78,26.36,PCA4horse-colic,368,2,4,RandomForest,1050,2.46E+12
69.02,0.55,0.69,0.64,0.66,23.38,PCA4horse-colic,368,2,4,RandomTree,20,2.46E+12
75.54,0.43,0.74,0.7,0.72,25.61,PCA4horse-colic,368,2,4,REPTree,9,2.46E+12
