Accuracy,RMSE,Fscore,PRC,AUC,SAR,Dataset,nInstances,nClasses,nAttributes,Algorithm,runTime,CPUtime
57.98,0.49,0.43,0.54,0.54,19.68,PCA4liver-disorders,345,2,4,DecisionStump,3,2.46E+12
58.24,0.64,0.55,0.54,0.54,19.71,PCA4liver-disorders,345,2,4,LibSVM,211,2.46E+12
54.28,0.5,0.52,0.62,0.58,18.45,PCA4liver-disorders,345,2,4,MultilayerPerceptron,2034,2.46E+12
57.44,0.49,0.52,0.61,0.57,19.51,PCA4liver-disorders,345,2,4,Logistic,36,2.46E+12
55.98,0.49,0.5,0.59,0.54,19.01,PCA4liver-disorders,345,2,4,SimpleLogistic,396,2.46E+12
57.98,0.65,0.43,0.51,0.5,19.61,PCA4liver-disorders,345,2,4,SMO,55,2.46E+12
55.61,0.66,0.55,0.54,0.55,18.83,PCA4liver-disorders,345,2,4,IBk,11,2.46E+12
60.54,0.52,0.6,0.66,0.61,20.54,PCA4liver-disorders,345,2,4,KStar,995,2.46E+12
57.98,0.5,0.43,0.63,0.6,19.7,PCA4liver-disorders,345,2,4,LWL,200,2.47E+12
57.98,0.49,0.43,0.51,0.5,19.66,PCA4liver-disorders,345,2,4,BayesNet,8,2.47E+12
54.19,0.5,0.53,0.61,0.56,18.42,PCA4liver-disorders,345,2,4,NaiveBayes,4,2.47E+12
54.19,0.5,0.53,0.61,0.56,18.42,PCA4liver-disorders,345,2,4,NaiveBayesUpdateable,4,2.47E+12
57.39,0.49,0.49,0.58,0.59,19.5,PCA4liver-disorders,345,2,4,AdaBoostM1,70,2.47E+12
60,0.49,0.58,0.66,0.63,20.38,PCA4liver-disorders,345,2,4,Bagging,107,2.47E+12
57.98,0.49,0.43,0.51,0.5,19.66,PCA4liver-disorders,345,2,4,Stacking,6,2.47E+12
59.14,0.5,0.58,0.59,0.57,20.07,PCA4liver-disorders,345,2,4,LogitBoost,74,2.47E+12
57.98,0.49,0.43,0.51,0.5,19.66,PCA4liver-disorders,345,2,4,Vote,2,2.47E+12
57.98,0.49,0.43,0.51,0.5,19.66,PCA4liver-disorders,345,2,4,DecisionTable,45,2.47E+12
59.99,0.5,0.57,0.56,0.57,20.35,PCA4liver-disorders,345,2,4,JRip,68,2.47E+12
54.78,0.67,0.53,0.53,0.52,18.54,PCA4liver-disorders,345,2,4,OneR,4,2.47E+12
57.98,0.49,0.43,0.51,0.5,19.66,PCA4liver-disorders,345,2,4,ZeroR,1,2.47E+12
57.11,0.49,0.48,0.53,0.53,19.38,PCA4liver-disorders,345,2,4,PART,8,2.47E+12
58.52,0.55,0.59,0.62,0.62,19.87,PCA4liver-disorders,345,2,4,RandomCommittee,154,2.47E+12
57.11,0.49,0.48,0.54,0.54,19.39,PCA4liver-disorders,345,2,4,J48,7,2.47E+12
54.8,0.5,0.49,0.58,0.53,18.61,PCA4liver-disorders,345,2,4,LMT,491,2.47E+12
65.5,0.49,0.65,0.65,0.63,22.22,PCA4liver-disorders,345,2,4,RandomForest,1011,2.47E+12
60.07,0.63,0.6,0.57,0.59,20.34,PCA4liver-disorders,345,2,4,RandomTree,14,2.47E+12
58.57,0.52,0.57,0.58,0.56,19.87,PCA4liver-disorders,345,2,4,REPTree,11,2.47E+12
97.14,0.15,0.97,0.96,0.98,32.99,PCA4breast-w,699,2,4,DecisionStump,7,2.47E+12
97,0.16,0.97,0.96,0.97,32.94,PCA4breast-w,699,2,4,LibSVM,285,2.47E+12
96.42,0.16,0.96,0.99,0.99,32.75,PCA4breast-w,699,2,4,MultilayerPerceptron,4089,2.47E+12
96.86,0.15,0.97,0.99,0.99,32.9,PCA4breast-w,699,2,4,Logistic,120,2.47E+12
96.14,0.16,0.96,0.99,0.99,32.66,PCA4breast-w,699,2,4,SimpleLogistic,766,2.47E+12
96.71,0.16,0.97,0.95,0.97,32.84,PCA4breast-w,699,2,4,SMO,59,2.47E+12
95.57,0.21,0.96,0.95,0.97,32.44,PCA4breast-w,699,2,4,IBk,33,2.47E+12
93.86,0.21,0.94,0.99,0.99,31.88,PCA4breast-w,699,2,4,KStar,3613,2.48E+12
97.14,0.15,0.97,0.99,0.99,32.99,PCA4breast-w,699,2,4,LWL,674,2.48E+12
96.57,0.16,0.97,0.99,0.99,32.8,PCA4breast-w,699,2,4,BayesNet,20,2.48E+12
96,0.19,0.96,0.99,0.99,32.6,PCA4breast-w,699,2,4,NaiveBayes,13,2.48E+12
96,0.19,0.96,0.99,0.99,32.6,PCA4breast-w,699,2,4,NaiveBayesUpdateable,13,2.48E+12
96.28,0.15,0.96,0.99,0.99,32.71,PCA4breast-w,699,2,4,AdaBoostM1,117,2.48E+12
97,0.15,0.97,0.99,0.99,32.95,PCA4breast-w,699,2,4,Bagging,87,2.48E+12
65.52,0.48,0.52,0.55,0.5,22.18,PCA4breast-w,699,2,4,Stacking,11,2.48E+12
96.42,0.16,0.96,0.99,0.99,32.75,PCA4breast-w,699,2,4,LogitBoost,124,2.48E+12
65.52,0.48,0.52,0.55,0.5,22.18,PCA4breast-w,699,2,4,Vote,2,2.48E+12
96.85,0.16,0.97,0.98,0.98,32.89,PCA4breast-w,699,2,4,DecisionTable,98,2.48E+12
97.29,0.15,0.97,0.97,0.98,33.04,PCA4breast-w,699,2,4,JRip,51,2.48E+12
97.14,0.15,0.97,0.96,0.98,32.99,PCA4breast-w,699,2,4,OneR,8,2.48E+12
65.52,0.48,0.52,0.55,0.5,22.18,PCA4breast-w,699,2,4,ZeroR,1,2.48E+12
97.14,0.15,0.97,0.96,0.97,32.99,PCA4breast-w,699,2,4,PART,18,2.48E+12
94.85,0.19,0.95,0.97,0.98,32.21,PCA4breast-w,699,2,4,RandomCommittee,110,2.48E+12
97.29,0.15,0.97,0.96,0.98,33.04,PCA4breast-w,699,2,4,J48,13,2.48E+12
96.28,0.16,0.96,1,1,32.71,PCA4breast-w,699,2,4,LMT,1132,2.48E+12
96.71,0.16,0.97,0.99,0.99,32.85,PCA4breast-w,699,2,4,RandomForest,708,2.48E+12
95,0.22,0.95,0.93,0.94,32.24,PCA4breast-w,699,2,4,RandomTree,9,2.48E+12
96.86,0.16,0.97,0.97,0.97,32.89,PCA4breast-w,699,2,4,REPTree,9,2.48E+12
86.67,0.3,0.85,0.85,0.85,29.41,PCA4labor,57,2,4,DecisionStump,1,2.48E+12
93.33,0.14,0.92,0.91,0.91,31.7,PCA4labor,57,2,4,LibSVM,20,2.48E+12
91.67,0.2,0.9,0.98,0.96,31.14,PCA4labor,57,2,4,MultilayerPerceptron,329,2.48E+12
93.33,0.2,0.92,0.98,0.96,31.7,PCA4labor,57,2,4,Logistic,10,2.48E+12
93.33,0.28,0.92,0.98,0.96,31.67,PCA4labor,57,2,4,SimpleLogistic,71,2.48E+12
93,0.14,0.91,0.9,0.9,31.59,PCA4labor,57,2,4,SMO,36,2.48E+12
83,0.34,0.82,0.82,0.82,28.16,PCA4labor,57,2,4,IBk,2,2.48E+12
80.67,0.34,0.79,0.93,0.9,27.41,PCA4labor,57,2,4,KStar,21,2.48E+12
86.67,0.29,0.85,0.92,0.9,29.43,PCA4labor,57,2,4,LWL,6,2.48E+12
84.67,0.32,0.83,0.85,0.85,28.73,PCA4labor,57,2,4,BayesNet,3,2.48E+12
93.33,0.18,0.92,0.99,0.99,31.71,PCA4labor,57,2,4,NaiveBayes,2,2.48E+12
93.33,0.18,0.92,0.99,0.99,31.71,PCA4labor,57,2,4,NaiveBayesUpdateable,0,2.48E+12
88,0.27,0.86,0.95,0.96,29.9,PCA4labor,57,2,4,AdaBoostM1,18,2.48E+12
86.67,0.25,0.85,0.95,0.94,29.45,PCA4labor,57,2,4,Bagging,14,2.48E+12
64.67,0.48,0.51,0.54,0.5,21.9,PCA4labor,57,2,4,Stacking,4,2.48E+12
84.67,0.29,0.83,0.95,0.93,28.77,PCA4labor,57,2,4,LogitBoost,46,2.48E+12
64.67,0.48,0.51,0.54,0.5,21.9,PCA4labor,57,2,4,Vote,1,2.48E+12
86.67,0.29,0.85,0.85,0.85,29.41,PCA4labor,57,2,4,DecisionTable,11,2.48E+12
86.67,0.3,0.85,0.85,0.85,29.41,PCA4labor,57,2,4,JRip,8,2.48E+12
91.67,0.18,0.9,0.89,0.89,31.12,PCA4labor,57,2,4,OneR,2,2.48E+12
64.67,0.48,0.51,0.54,0.5,21.9,PCA4labor,57,2,4,ZeroR,0,2.48E+12
86.67,0.3,0.85,0.85,0.85,29.41,PCA4labor,57,2,4,PART,2,2.48E+12
86.67,0.29,0.85,0.92,0.93,29.43,PCA4labor,57,2,4,RandomCommittee,24,2.48E+12
86.67,0.3,0.85,0.85,0.85,29.41,PCA4labor,57,2,4,J48,2,2.48E+12
93.33,0.28,0.92,0.98,0.96,31.67,PCA4labor,57,2,4,LMT,92,2.48E+12
86.67,0.25,0.85,0.94,0.91,29.44,PCA4labor,57,2,4,RandomForest,117,2.48E+12
86.67,0.27,0.86,0.86,0.86,29.42,PCA4labor,57,2,4,RandomTree,0,2.48E+12
93.33,0.19,0.92,0.91,0.9,31.68,PCA4labor,57,2,4,REPTree,1,2.48E+12
74.48,0.31,0.72,0.68,0.76,25.31,PCA4lymph,148,4,4,DecisionStump,2,2.48E+12
80.57,0.3,0.79,0.74,0.81,27.36,PCA4lymph,148,4,4,LibSVM,72,2.48E+12
81.81,0.25,0.81,0.93,0.92,27.83,PCA4lymph,148,4,4,MultilayerPerceptron,1366,2.48E+12
83.24,0.24,0.83,0.93,0.93,28.31,PCA4lymph,148,4,4,Logistic,87,2.48E+12
83.19,0.24,0.83,0.94,0.94,28.3,PCA4lymph,148,4,4,SimpleLogistic,305,2.48E+12
80.52,0.34,0.79,0.75,0.81,27.33,PCA4lymph,148,4,4,SMO,207,2.48E+12
79.81,0.31,0.8,0.74,0.8,27.1,PCA4lymph,148,4,4,IBk,4,2.48E+12
79.86,0.27,0.79,0.9,0.89,27.16,PCA4lymph,148,4,4,KStar,167,2.48E+12
70.38,0.3,0.7,0.91,0.89,23.99,PCA4lymph,148,4,4,LWL,41,2.48E+12
75.14,0.28,0.74,0.82,0.85,25.57,PCA4lymph,148,4,4,BayesNet,11,2.48E+12
81.19,0.25,0.8,0.91,0.92,27.62,PCA4lymph,148,4,4,NaiveBayes,3,2.48E+12
81.19,0.25,0.8,0.91,0.92,27.62,PCA4lymph,148,4,4,NaiveBayesUpdateable,2,2.48E+12
74.48,0.34,0.72,0.72,0.77,25.3,PCA4lymph,148,4,4,AdaBoostM1,35,2.48E+12
75.14,0.28,0.74,0.87,0.86,25.58,PCA4lymph,148,4,4,Bagging,33,2.48E+12
54.76,0.36,0.39,0.47,0.5,18.63,PCA4lymph,148,4,4,Stacking,4,2.48E+12
78.57,0.28,0.77,0.89,0.88,26.73,PCA4lymph,148,4,4,LogitBoost,92,2.48E+12
54.76,0.36,0.39,0.47,0.5,18.63,PCA4lymph,148,4,4,Vote,1,2.48E+12
75.81,0.3,0.74,0.76,0.81,25.77,PCA4lymph,148,4,4,DecisionTable,26,2.48E+12
73.71,0.32,0.73,0.7,0.76,25.05,PCA4lymph,148,4,4,JRip,30,2.48E+12
68.43,0.39,0.66,0.62,0.69,23.24,PCA4lymph,148,4,4,OneR,2,2.48E+12
54.76,0.36,0.39,0.47,0.5,18.63,PCA4lymph,148,4,4,ZeroR,0,2.48E+12
77.76,0.27,0.76,0.83,0.87,26.45,PCA4lymph,148,4,4,PART,8,2.48E+12
76.43,0.29,0.76,0.84,0.86,26,PCA4lymph,148,4,4,RandomCommittee,48,2.48E+12
77.81,0.28,0.77,0.8,0.83,26.45,PCA4lymph,148,4,4,J48,4,2.48E+12
83.19,0.24,0.83,0.94,0.94,28.3,PCA4lymph,148,4,4,LMT,451,2.48E+12
79.76,0.26,0.79,0.9,0.89,27.13,PCA4lymph,148,4,4,RandomForest,269,2.48E+12
73.67,0.35,0.73,0.69,0.75,25.02,PCA4lymph,148,4,4,RandomTree,4,2.48E+12
70.48,0.33,0.69,0.71,0.76,23.97,PCA4lymph,148,4,4,REPTree,3,2.48E+12
74.82,0.43,0.7,0.66,0.6,25.33,PCA4haberman,306,2,4,DecisionStump,3,2.48E+12
71.23,0.54,0.62,0.61,0.49,24.06,PCA4haberman,306,2,4,LibSVM,150,2.48E+12
72.82,0.43,0.7,0.75,0.67,24.68,PCA4haberman,306,2,4,MultilayerPerceptron,1685,2.49E+12
73.51,0.43,0.65,0.73,0.64,24.9,PCA4haberman,306,2,4,Logistic,30,2.49E+12
72.53,0.48,0.62,0.66,0.55,24.53,PCA4haberman,306,2,4,SimpleLogistic,333,2.49E+12
73.53,0.51,0.62,0.61,0.5,24.84,PCA4haberman,306,2,4,SMO,45,2.49E+12
64.69,0.59,0.64,0.65,0.56,21.89,PCA4haberman,306,2,4,IBk,7,2.49E+12
68.62,0.47,0.65,0.74,0.64,23.27,PCA4haberman,306,2,4,KStar,794,2.49E+12
74.16,0.43,0.71,0.72,0.62,25.12,PCA4haberman,306,2,4,LWL,140,2.49E+12
74.82,0.43,0.7,0.66,0.6,25.33,PCA4haberman,306,2,4,BayesNet,7,2.49E+12
71.86,0.44,0.66,0.72,0.62,24.35,PCA4haberman,306,2,4,NaiveBayes,4,2.49E+12
71.86,0.44,0.66,0.72,0.62,24.35,PCA4haberman,306,2,4,NaiveBayesUpdateable,3,2.49E+12
74.48,0.44,0.71,0.67,0.6,25.22,PCA4haberman,306,2,4,AdaBoostM1,55,2.49E+12
72.55,0.44,0.67,0.74,0.65,24.59,PCA4haberman,306,2,4,Bagging,77,2.49E+12
73.53,0.44,0.62,0.61,0.5,24.86,PCA4haberman,306,2,4,Stacking,6,2.49E+12
75.82,0.43,0.73,0.72,0.63,25.67,PCA4haberman,306,2,4,LogitBoost,45,2.49E+12
73.53,0.44,0.62,0.61,0.5,24.86,PCA4haberman,306,2,4,Vote,1,2.49E+12
74.82,0.43,0.7,0.66,0.59,25.33,PCA4haberman,306,2,4,DecisionTable,38,2.49E+12
74.14,0.43,0.7,0.66,0.58,25.09,PCA4haberman,306,2,4,JRip,45,2.49E+12
70.88,0.54,0.68,0.65,0.57,23.97,PCA4haberman,306,2,4,OneR,4,2.49E+12
73.53,0.44,0.62,0.61,0.5,24.86,PCA4haberman,306,2,4,ZeroR,1,2.49E+12
75.14,0.43,0.71,0.66,0.59,25.43,PCA4haberman,306,2,4,PART,4,2.49E+12
67.99,0.53,0.67,0.68,0.59,23.02,PCA4haberman,306,2,4,RandomCommittee,134,2.49E+12
75.14,0.43,0.71,0.66,0.59,25.43,PCA4haberman,306,2,4,J48,5,2.49E+12
71.88,0.48,0.62,0.66,0.54,24.31,PCA4haberman,306,2,4,LMT,2613,2.49E+12
68.62,0.46,0.67,0.75,0.67,23.28,PCA4haberman,306,2,4,RandomForest,771,2.49E+12
64.75,0.59,0.64,0.63,0.54,21.9,PCA4haberman,306,2,4,RandomTree,13,2.49E+12
72.54,0.44,0.67,0.65,0.57,24.55,PCA4haberman,306,2,4,REPTree,8,2.49E+12
97.16,0.12,0.97,0.96,0.97,33,PCA4bankrupt_qualitative,175,2,4,DecisionStump,2,2.49E+12
97.71,0.1,0.98,0.97,0.97,33.2,PCA4bankrupt_qualitative,175,2,4,LibSVM,57,2.49E+12
97.16,0.13,0.97,0.99,0.98,33,PCA4bankrupt_qualitative,175,2,4,MultilayerPerceptron,960,2.49E+12
97.12,0.13,0.97,0.99,0.99,32.99,PCA4bankrupt_qualitative,175,2,4,Logistic,32,2.49E+12
97.12,0.18,0.97,0.99,0.99,32.98,PCA4bankrupt_qualitative,175,2,4,SimpleLogistic,192,2.49E+12
97.71,0.1,0.98,0.97,0.97,33.2,PCA4bankrupt_qualitative,175,2,4,SMO,43,2.49E+12
94.84,0.2,0.95,0.95,0.96,32.2,PCA4bankrupt_qualitative,175,2,4,IBk,4,2.49E+12
95.42,0.17,0.95,0.97,0.97,32.41,PCA4bankrupt_qualitative,175,2,4,KStar,199,2.49E+12
97.16,0.12,0.97,0.98,0.98,33,PCA4bankrupt_qualitative,175,2,4,LWL,41,2.49E+12
97.16,0.14,0.97,0.97,0.97,33,PCA4bankrupt_qualitative,175,2,4,BayesNet,6,2.49E+12
97.71,0.11,0.98,1,0.99,33.2,PCA4bankrupt_qualitative,175,2,4,NaiveBayes,2,2.49E+12
97.71,0.11,0.98,1,0.99,33.2,PCA4bankrupt_qualitative,175,2,4,NaiveBayesUpdateable,2,2.49E+12
96.01,0.14,0.96,0.98,0.98,32.62,PCA4bankrupt_qualitative,175,2,4,AdaBoostM1,30,2.49E+12
97.12,0.12,0.97,0.97,0.97,32.99,PCA4bankrupt_qualitative,175,2,4,Bagging,20,2.49E+12
59.97,0.49,0.45,0.52,0.5,20.33,PCA4bankrupt_qualitative,175,2,4,Stacking,2,2.49E+12
95.42,0.16,0.95,0.98,0.98,32.42,PCA4bankrupt_qualitative,175,2,4,LogitBoost,27,2.49E+12
59.97,0.49,0.45,0.52,0.5,20.33,PCA4bankrupt_qualitative,175,2,4,Vote,2,2.49E+12
97.16,0.13,0.97,0.96,0.97,33,PCA4bankrupt_qualitative,175,2,4,DecisionTable,23,2.49E+12
97.16,0.12,0.97,0.96,0.97,33,PCA4bankrupt_qualitative,175,2,4,JRip,10,2.49E+12
97.16,0.11,0.97,0.96,0.97,33.01,PCA4bankrupt_qualitative,175,2,4,OneR,2,2.49E+12
59.97,0.49,0.45,0.52,0.5,20.33,PCA4bankrupt_qualitative,175,2,4,ZeroR,1,2.49E+12
97.16,0.12,0.97,0.96,0.97,33,PCA4bankrupt_qualitative,175,2,4,PART,2,2.49E+12
95.42,0.18,0.95,0.94,0.95,32.4,PCA4bankrupt_qualitative,175,2,4,RandomCommittee,26,2.49E+12
97.16,0.12,0.97,0.96,0.97,33,PCA4bankrupt_qualitative,175,2,4,J48,3,2.49E+12
97.12,0.18,0.97,0.99,0.99,32.98,PCA4bankrupt_qualitative,175,2,4,LMT,248,2.49E+12
95.42,0.15,0.95,0.98,0.98,32.42,PCA4bankrupt_qualitative,175,2,4,RandomForest,162,2.49E+12
95.42,0.2,0.95,0.94,0.95,32.39,PCA4bankrupt_qualitative,175,2,4,RandomTree,3,2.49E+12
96.57,0.14,0.97,0.95,0.96,32.8,PCA4bankrupt_qualitative,175,2,4,REPTree,2,2.49E+12
69.15,0.45,0.69,0.65,0.67,23.46,PCA4diabetes,768,2,4,DecisionStump,7,2.49E+12
73.84,0.51,0.73,0.67,0.68,25,PCA4diabetes,768,2,4,LibSVM,614,2.49E+12
72.4,0.43,0.73,0.79,0.79,24.58,PCA4diabetes,768,2,4,MultilayerPerceptron,4186,2.50E+12
72.54,0.42,0.71,0.8,0.79,24.64,PCA4diabetes,768,2,4,Logistic,74,2.50E+12
72.54,0.42,0.71,0.8,0.78,24.63,PCA4diabetes,768,2,4,SimpleLogistic,874,2.50E+12
73.06,0.52,0.71,0.65,0.66,24.74,PCA4diabetes,768,2,4,SMO,79,2.50E+12
65.1,0.59,0.65,0.62,0.62,22.04,PCA4diabetes,768,2,4,IBk,40,2.50E+12
68.35,0.47,0.67,0.73,0.71,23.2,PCA4diabetes,768,2,4,KStar,5332,2.50E+12
68.89,0.45,0.69,0.77,0.76,23.4,PCA4diabetes,768,2,4,LWL,949,2.50E+12
70.72,0.44,0.69,0.74,0.74,24.01,PCA4diabetes,768,2,4,BayesNet,16,2.50E+12
72.28,0.43,0.71,0.79,0.77,24.54,PCA4diabetes,768,2,4,NaiveBayes,6,2.50E+12
72.28,0.43,0.71,0.79,0.77,24.54,PCA4diabetes,768,2,4,NaiveBayesUpdateable,7,2.50E+12
71.62,0.43,0.71,0.76,0.76,24.32,PCA4diabetes,768,2,4,AdaBoostM1,139,2.51E+12
70.97,0.43,0.7,0.79,0.77,24.1,PCA4diabetes,768,2,4,Bagging,202,2.51E+12
65.11,0.48,0.51,0.55,0.5,22.04,PCA4diabetes,768,2,4,Stacking,10,2.51E+12
69.94,0.43,0.69,0.76,0.76,23.75,PCA4diabetes,768,2,4,LogitBoost,88,2.51E+12
65.11,0.48,0.51,0.55,0.5,22.04,PCA4diabetes,768,2,4,Vote,3,2.51E+12
69.81,0.44,0.69,0.73,0.74,23.7,PCA4diabetes,768,2,4,DecisionTable,85,2.51E+12
71.75,0.45,0.71,0.66,0.67,24.33,PCA4diabetes,768,2,4,JRip,157,2.51E+12
70.86,0.54,0.69,0.64,0.65,23.99,PCA4diabetes,768,2,4,OneR,8,2.51E+12
65.11,0.48,0.51,0.55,0.5,22.04,PCA4diabetes,768,2,4,ZeroR,1,2.51E+12
70.59,0.43,0.71,0.73,0.75,23.97,PCA4diabetes,768,2,4,PART,42,2.51E+12
66.94,0.48,0.67,0.72,0.71,22.72,PCA4diabetes,768,2,4,RandomCommittee,306,2.51E+12
69.94,0.45,0.7,0.71,0.73,23.74,PCA4diabetes,768,2,4,J48,32,2.51E+12
72.54,0.42,0.71,0.8,0.78,24.63,PCA4diabetes,768,2,4,LMT,1431,2.51E+12
70.71,0.44,0.7,0.77,0.76,24.01,PCA4diabetes,768,2,4,RandomForest,1952,2.51E+12
66.67,0.58,0.66,0.62,0.63,22.57,PCA4diabetes,768,2,4,RandomTree,31,2.51E+12
70.06,0.46,0.7,0.7,0.7,23.77,PCA4diabetes,768,2,4,REPTree,22,2.51E+12
