Accuracy,RMSE,Fscore,PRC,AUC,SAR,Dataset,nInstances,nClasses,nAttributes,Algorithm,runTime,CPUtime
20.5,0.29,0.07,0.17,0.72,7.31,FICA4pendigits,10992,10,4,DecisionStump,430,680712787
19.51,0.4,0.08,0.13,0.55,6.89,FICA4pendigits,10992,10,4,LibSVM,197674,1.97E+11
83.83,0.16,0.83,0.86,0.94,28.54,FICA4pendigits,10992,10,4,MultilayerPerceptron,230516,4.27E+11
74.94,0.19,0.74,0.78,0.96,25.57,FICA4pendigits,10992,10,4,Logistic,29502,4.56E+11
74.94,0.19,0.74,0.78,0.96,25.57,FICA4pendigits,10992,10,4,SimpleLogistic,74810,5.29E+11
80.35,0.27,0.8,0.75,0.96,27.35,FICA4pendigits,10992,10,4,SMO,7365,5.36E+11
90.57,0.14,0.91,0.83,0.95,30.8,FICA4pendigits,10992,10,4,IBk,6243,5.43E+11
90.27,0.12,0.9,0.96,0.99,30.71,FICA4pendigits,10992,10,4,KStar,1232215,1.77E+12
58.7,0.27,0.51,0.62,0.91,20.11,FICA4pendigits,10992,10,4,LWL,419206,2.19E+12
76.69,0.18,0.77,0.83,0.97,26.16,FICA4pendigits,10992,10,4,BayesNet,901,2.19E+12
73.85,0.19,0.73,0.79,0.96,25.21,FICA4pendigits,10992,10,4,NaiveBayes,407,2.19E+12
73.85,0.19,0.73,0.79,0.96,25.21,FICA4pendigits,10992,10,4,NaiveBayesUpdateable,293,2.19E+12
20.5,0.29,0.07,0.17,0.72,7.31,FICA4pendigits,10992,10,4,AdaBoostM1,287,2.19E+12
89.86,0.12,0.9,0.95,0.99,30.58,FICA4pendigits,10992,10,4,Bagging,5819,2.19E+12
10.37,0.3,0.02,0.1,0.5,3.86,FICA4pendigits,10992,10,4,Stacking,208,2.19E+12
79.7,0.18,0.8,0.85,0.97,27.17,FICA4pendigits,10992,10,4,LogitBoost,13055,2.21E+12
10.37,0.3,0.02,0.1,0.5,3.86,FICA4pendigits,10992,10,4,Vote,44,2.21E+12
78.5,0.2,0.78,0.83,0.97,26.76,FICA4pendigits,10992,10,4,DecisionTable,3563,2.21E+12
86.49,0.15,0.87,0.85,0.97,29.44,FICA4pendigits,10992,10,4,JRip,55191,2.26E+12
31.7,0.37,0.3,0.17,0.62,10.98,FICA4pendigits,10992,10,4,OneR,428,2.26E+12
10.37,0.3,0.02,0.1,0.5,3.86,FICA4pendigits,10992,10,4,ZeroR,20,2.26E+12
88.1,0.14,0.88,0.87,0.97,29.97,FICA4pendigits,10992,10,4,PART,12560,2.28E+12
89.95,0.12,0.9,0.93,0.98,30.6,FICA4pendigits,10992,10,4,RandomCommittee,7717,2.28E+12
88.5,0.14,0.88,0.86,0.96,30.11,FICA4pendigits,10992,10,4,J48,2441,2.29E+12
90.82,0.12,0.91,0.94,0.99,30.9,FICA4pendigits,10992,10,4,LMT,418718,2.70E+12
91.28,0.11,0.91,0.96,0.99,31.06,FICA4pendigits,10992,10,4,RandomForest,48104,2.75E+12
87.21,0.16,0.87,0.78,0.93,29.66,FICA4pendigits,10992,10,4,RandomTree,822,2.75E+12
87.52,0.14,0.87,0.89,0.98,29.78,FICA4pendigits,10992,10,4,REPTree,626,2.75E+12
92.5,0.22,0.89,0.89,0.37,31.22,FICA4sponge,76,3,4,DecisionStump,0,2.75E+12
92.5,0.17,0.89,0.87,0.3,31.21,FICA4sponge,76,3,4,LibSVM,40,2.75E+12
88.39,0.23,0.87,0.96,0.47,29.88,FICA4sponge,76,3,4,MultilayerPerceptron,502,2.75E+12
90.71,0.22,0.91,0.96,0.49,30.66,FICA4sponge,76,3,4,Logistic,133,2.75E+12
92.5,0.44,0.89,0.87,0.3,31.12,FICA4sponge,76,3,4,SimpleLogistic,138,2.75E+12
92.5,0.32,0.89,0.87,0.3,31.16,FICA4sponge,76,3,4,SMO,117,2.75E+12
95,0.13,0.93,0.91,0.4,32.09,FICA4sponge,76,3,4,IBk,2,2.75E+12
95,0.13,0.93,0.96,0.48,32.12,FICA4sponge,76,3,4,KStar,38,2.75E+12
91.25,0.23,0.88,0.93,0.42,30.82,FICA4sponge,76,3,4,LWL,13,2.75E+12
92.5,0.19,0.89,0.87,0.3,31.2,FICA4sponge,76,3,4,BayesNet,7,2.75E+12
93.75,0.16,0.92,0.94,0.45,31.68,FICA4sponge,76,3,4,NaiveBayes,0,2.75E+12
93.75,0.16,0.92,0.94,0.45,31.68,FICA4sponge,76,3,4,NaiveBayesUpdateable,2,2.75E+12
92.5,0.19,0.89,0.95,0.48,31.27,FICA4sponge,76,3,4,AdaBoostM1,31,2.75E+12
92.5,0.2,0.89,0.94,0.47,31.26,FICA4sponge,76,3,4,Bagging,43,2.75E+12
92.5,0.2,0.89,0.87,0.3,31.2,FICA4sponge,76,3,4,Stacking,5,2.75E+12
91.07,0.18,0.89,0.97,0.5,30.8,FICA4sponge,76,3,4,LogitBoost,158,2.75E+12
92.5,0.2,0.89,0.87,0.3,31.2,FICA4sponge,76,3,4,Vote,2,2.75E+12
92.5,0.2,0.89,0.87,0.3,31.2,FICA4sponge,76,3,4,DecisionTable,32,2.75E+12
91.25,0.19,0.88,0.87,0.29,30.78,FICA4sponge,76,3,4,JRip,10,2.75E+12
92.5,0.17,0.9,0.89,0.39,31.24,FICA4sponge,76,3,4,OneR,3,2.75E+12
92.5,0.2,0.89,0.87,0.3,31.2,FICA4sponge,76,3,4,ZeroR,1,2.75E+12
95,0.15,0.93,0.92,0.39,32.08,FICA4sponge,76,3,4,PART,2,2.75E+12
92.32,0.16,0.91,0.95,0.5,31.22,FICA4sponge,76,3,4,RandomCommittee,35,2.75E+12
92.5,0.2,0.89,0.86,0.26,31.19,FICA4sponge,76,3,4,J48,1,2.75E+12
92.5,0.43,0.89,0.87,0.3,31.12,FICA4sponge,76,3,4,LMT,1425,2.75E+12
93.75,0.17,0.91,0.96,0.55,31.71,FICA4sponge,76,3,4,RandomForest,207,2.75E+12
93.57,0.15,0.92,0.92,0.44,31.62,FICA4sponge,76,3,4,RandomTree,1,2.75E+12
89.64,0.22,0.87,0.87,0.3,30.24,FICA4sponge,76,3,4,REPTree,2,2.75E+12
69,0.35,0.62,0.66,0.84,23.5,FICA4splice,3190,3,4,DecisionStump,38,2.75E+12
51.88,0.57,0.35,0.38,0.5,17.6,FICA4splice,3190,3,4,LibSVM,11319,2.76E+12
92.51,0.2,0.93,0.98,0.99,31.43,FICA4splice,3190,3,4,MultilayerPerceptron,21395,2.78E+12
92.51,0.19,0.93,0.98,0.99,31.43,FICA4splice,3190,3,4,Logistic,1382,2.78E+12
92.45,0.19,0.92,0.98,0.99,31.41,FICA4splice,3190,3,4,SimpleLogistic,6494,2.79E+12
92.66,0.3,0.93,0.89,0.95,31.44,FICA4splice,3190,3,4,SMO,305,2.79E+12
90.88,0.25,0.91,0.87,0.93,30.85,FICA4splice,3190,3,4,IBk,707,2.79E+12
92.92,0.19,0.93,0.98,0.99,31.57,FICA4splice,3190,3,4,KStar,88166,2.88E+12
89.18,0.32,0.89,0.94,0.96,30.28,FICA4splice,3190,3,4,LWL,18274,2.90E+12
