"instan","classes","FSize","LCoef01","LCoef02","LCoef03","LCoef12","LCoef13","LCoef23","skew0","skew1","skew2","skew3","kurtosis0","kurtosis1","kurtosis2","kurtosis3","nCEntropy","entroC","toCorr","AdaBoostM1","Bagging","BayesNet","DecisionStump","DecisionTable","IBk","J48","JRip","KStar","LibSVM","LMT","Logistic","LogitBoost","LWL","MultilayerPerceptron","NaiveBayes","NaiveBayesUpdateable","OneR","PART","RandomCommittee","RandomForest","RandomTree","REPTree","SimpleLogistic","SMO","Stacking","Vote","ZeroR","CPUtime","CPUtrans","CPUPred"
175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2523.67017,18.9539160517729,10.7914978569857
175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.32837,18.9532671641175,11.7205944349996
175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2523.60181,18.9537862798666,12.8447530237447
175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2521.979,18.950704775769,12.8447530237447
175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.59595,18.9537751553447,12.8447530237447
175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2524.25757,18.9550310326953,12.8447530237447
175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.02295,18.95268728231,12.8447530237447
175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2524.24805,18.9550129638388,12.8447530237447
175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2523.7041,18.9539804620917,12.8447530237447
175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2523.79224,18.9541477776136,12.8447530237447
