Acc,SAR,Dataset,Algorithm,runTime,CPUtime,usedMemory
82.27,27.94,FICA4molecular-biology-promoters,BayesNet,6,39246.46484,506.69452
86.91,29.52,FICA4molecular-biology-promoters,NaiveBayes,1,39246.46484,506.69452
86.91,29.52,FICA4molecular-biology-promoters,NaiveBayesUpdateable,1,39246.46875,515.97382
83.27,28.29,FICA4molecular-biology-promoters,AdaBoostM1,24,39246.48047,515.97382
84.18,28.6,FICA4molecular-biology-promoters,Bagging,19,39246.5,525.2525
47.27,16.09,FICA4molecular-biology-promoters,Stacking,3,39246.51172,525.2525
84.18,28.6,FICA4molecular-biology-promoters,LogitBoost,20,39246.53516,653.03235
47.27,16.09,FICA4molecular-biology-promoters,Vote,1,39246.53516,653.03235
82.27,27.93,FICA4molecular-biology-promoters,DecisionTable,23,39246.54688,662.31091
82.27,27.91,FICA4molecular-biology-promoters,JRip,14,39246.57422,671.58948
69.82,23.66,FICA4molecular-biology-promoters,OneR,2,39246.57813,671.58948
47.27,16.09,FICA4molecular-biology-promoters,ZeroR,0,39246.57813,671.58948
84.27,28.6,FICA4molecular-biology-promoters,PART,4,39246.58203,671.58948
82.36,27.97,FICA4molecular-biology-promoters,RandomCommittee,25,39246.60547,680.86816
82.36,27.94,FICA4molecular-biology-promoters,J48,3,39246.60938,680.86816
91.64,31.12,FICA4molecular-biology-promoters,LMT,233,39246.82813,180.94055
86,29.22,FICA4molecular-biology-promoters,RandomForest,169,39247.00781,238.03824
75.91,25.74,FICA4molecular-biology-promoters,RandomTree,2,39247.01172,238.03824
85.18,28.91,FICA4molecular-biology-promoters,REPTree,2,39247.01563,238.03824
70.65,23.94,FICA4breast-cancer,DecisionStump,4,39247.01953,238.03824
70.3,23.75,FICA4breast-cancer,LibSVM,137,39247.16016,246.19492
70.3,23.86,FICA4breast-cancer,MultilayerPerceptron,1719,39248.88281,254.35158
72.41,24.57,FICA4breast-cancer,Logistic,26,39248.91016,254.35158
72.06,24.46,FICA4breast-cancer,SimpleLogistic,334,39249.24219,376.70294
72.08,24.38,FICA4breast-cancer,SMO,58,39249.30469,531.93048
68.18,23.08,FICA4breast-cancer,IBk,7,39249.3125,540.08728
66.44,22.52,FICA4breast-cancer,KStar,653,39249.96484,572.71606
72.75,24.66,FICA4breast-cancer,LWL,126,39250.08984,589.03137
70.31,23.83,FICA4breast-cancer,BayesNet,6,39250.10156,589.03137
71.35,24.21,FICA4breast-cancer,NaiveBayes,3,39250.10547,589.03137
71.35,24.21,FICA4breast-cancer,NaiveBayesUpdateable,2,39250.10938,597.18805
71.35,24.2,FICA4breast-cancer,AdaBoostM1,52,39250.16016,605.34473
74.16,25.14,FICA4breast-cancer,Bagging,70,39250.23438,637.97589
70.3,23.78,FICA4breast-cancer,Stacking,4,39250.23828,637.97589
68.9,23.38,FICA4breast-cancer,LogitBoost,39,39250.27344,185.62793
70.3,23.78,FICA4breast-cancer,Vote,1,39250.27734,185.62793
70.65,23.93,FICA4breast-cancer,DecisionTable,35,39250.30859,200.9725
71,24.04,FICA4breast-cancer,JRip,42,39250.35156,216.31714
72.7,24.6,FICA4breast-cancer,OneR,4,39250.35547,216.31714
70.3,23.78,FICA4breast-cancer,ZeroR,0,39250.35547,216.31714
74.16,25.12,FICA4breast-cancer,PART,7,39250.36328,216.31714
68.81,23.33,FICA4breast-cancer,RandomCommittee,117,39250.48047,247.00732
74.51,25.23,FICA4breast-cancer,J48,6,39250.48828,254.67963
70.99,24.1,FICA4breast-cancer,LMT,452,39250.9375,415.80933
72.34,24.53,FICA4breast-cancer,RandomForest,700,39251.64453,607.62201
63.6,21.53,FICA4breast-cancer,RandomTree,11,39251.65625,615.29425
73.07,24.76,FICA4breast-cancer,REPTree,9,39251.66406,615.29425
96.57,32.8,FICA4bankrupt_qualitative,DecisionStump,2,39251.66797,615.29425
59.97,20.28,FICA4bankrupt_qualitative,LibSVM,66,39251.73438,622.96716
97.16,33,FICA4bankrupt_qualitative,MultilayerPerceptron,1044,39252.78125,622.96716
97.12,32.99,FICA4bankrupt_qualitative,Logistic,33,39252.8125,630.63947
97.12,32.99,FICA4bankrupt_qualitative,SimpleLogistic,221,39253.03516,707.37
97.71,33.2,FICA4bankrupt_qualitative,SMO,42,39253.07813,311.50119
95.42,32.4,FICA4bankrupt_qualitative,IBk,4,39253.08203,319.93848
94.28,32.02,FICA4bankrupt_qualitative,KStar,216,39253.30078,328.37579
96.57,32.8,FICA4bankrupt_qualitative,LWL,40,39253.34375,336.81305
94.8,32.21,FICA4bankrupt_qualitative,BayesNet,4,39253.34766,336.81305
97.71,33.19,FICA4bankrupt_qualitative,NaiveBayes,1,39253.34766,336.81305
97.71,33.19,FICA4bankrupt_qualitative,NaiveBayesUpdateable,2,39253.35156,336.81305
96.57,32.8,FICA4bankrupt_qualitative,AdaBoostM1,39,39253.37891,353.68756
97.12,32.98,FICA4bankrupt_qualitative,Bagging,20,39253.40234,362.13263
59.97,20.33,FICA4bankrupt_qualitative,Stacking,4,39253.41797,362.13263
96.57,32.81,FICA4bankrupt_qualitative,LogitBoost,26,39253.4375,477.97073
59.97,20.33,FICA4bankrupt_qualitative,Vote,1,39253.44141,477.97073
95.39,32.4,FICA4bankrupt_qualitative,DecisionTable,22,39253.46484,486.4086
95.39,32.39,FICA4bankrupt_qualitative,JRip,12,39253.47656,494.84586
95.95,32.58,FICA4bankrupt_qualitative,OneR,2,39253.48047,494.84586
59.97,20.33,FICA4bankrupt_qualitative,ZeroR,1,39253.48047,494.84586
96.01,32.61,FICA4bankrupt_qualitative,PART,5,39253.48828,494.84586
94.25,32,FICA4bankrupt_qualitative,RandomCommittee,29,39253.51953,503.28363
96.57,32.8,FICA4bankrupt_qualitative,J48,3,39253.52344,503.28363
97.12,32.99,FICA4bankrupt_qualitative,LMT,284,39253.80859,612.97565
94.84,32.22,FICA4bankrupt_qualitative,RandomForest,192,39254,680.48944
93.07,31.6,FICA4bankrupt_qualitative,RandomTree,3,39254.00391,680.48944
96.57,32.8,FICA4bankrupt_qualitative,REPTree,2,39254.00391,680.48944
67.41,22.87,FICA4heart-stalog,DecisionStump,2,39254.00781,688.92676
55.56,18.8,FICA4heart-stalog,LibSVM,135,39254.14844,688.92676
80,27.17,FICA4heart-stalog,MultilayerPerceptron,1615,39255.76172,693.48584
83.33,28.3,FICA4heart-stalog,Logistic,36,39255.80078,163.21506
83.33,28.29,FICA4heart-stalog,SimpleLogistic,311,39256.10938,281.13458
84.81,28.76,FICA4heart-stalog,SMO,44,39256.15234,433.72705
80,27.12,FICA4heart-stalog,IBk,6,39256.16016,441.0965
77.78,26.41,FICA4heart-stalog,KStar,556,39256.71094,463.20694
71.48,24.3,FICA4heart-stalog,LWL,113,39256.83594,485.31906
80,27.16,FICA4heart-stalog,BayesNet,6,39256.84375,485.31906
84.07,28.54,FICA4heart-stalog,NaiveBayes,2,39256.84766,485.31906
84.07,28.54,FICA4heart-stalog,NaiveBayesUpdateable,3,39256.84766,492.68854
80.37,27.3,FICA4heart-stalog,AdaBoostM1,51,39256.89063,500.0658
83.33,28.3,FICA4heart-stalog,Bagging,48,39256.94922,522.17584
55.56,18.85,FICA4heart-stalog,Stacking,4,39256.95703,529.54535
79.63,27.04,FICA4heart-stalog,LogitBoost,44,39256.99219,640.91595
55.56,18.85,FICA4heart-stalog,Vote,2,39256.99609,640.91595
78.89,26.78,FICA4heart-stalog,DecisionTable,31,39257.02344,655.65497
81.11,27.51,FICA4heart-stalog,JRip,43,39257.07031,675.84515
71.11,24.09,FICA4heart-stalog,OneR,3,39257.07422,675.84515
55.56,18.85,FICA4heart-stalog,ZeroR,1,39257.07422,675.84515
82.96,28.15,FICA4heart-stalog,PART,10,39257.08594,675.84515
81.85,27.79,FICA4heart-stalog,RandomCommittee,77,39257.14844,181.65631
83.7,28.39,FICA4heart-stalog,J48,10,39257.17188,181.65631
83.33,28.29,FICA4heart-stalog,LMT,492,39257.66797,362.06256
84.07,28.55,FICA4heart-stalog,RandomForest,509,39258.17188,510.27032
75.93,25.73,FICA4heart-stalog,RandomTree,7,39258.17188,510.27032
80,27.15,FICA4heart-stalog,REPTree,5,39258.1875,510.27032
55,18.75,FICA4lung-cancer,DecisionStump,1,39258.19141,510.27032
40,13.62,FICA4lung-cancer,LibSVM,10,39258.19141,516.71313
47.5,16.27,FICA4lung-cancer,MultilayerPerceptron,249,39258.44922,516.71313
63.33,21.58,FICA4lung-cancer,Logistic,13,39258.46484,516.71313
50.83,17.37,FICA4lung-cancer,SimpleLogistic,68,39258.53516,555.38104
44.17,15.15,FICA4lung-cancer,SMO,101,39258.63281,529.57629
43.33,14.78,FICA4lung-cancer,IBk,1,39258.63281,529.57629
52.5,17.93,FICA4lung-cancer,KStar,7,39258.64063,529.57629
47.5,16.25,FICA4lung-cancer,LWL,3,39258.64453,529.57629
55,18.75,FICA4lung-cancer,BayesNet,3,39258.64844,529.57629
60,20.45,FICA4lung-cancer,NaiveBayes,1,39258.64844,529.57629
60,20.45,FICA4lung-cancer,NaiveBayesUpdateable,0,39258.65234,529.57629
51.67,17.62,FICA4lung-cancer,AdaBoostM1,11,39258.66016,536.37439
39.17,13.45,FICA4lung-cancer,Bagging,11,39258.67188,536.37439
40,13.68,FICA4lung-cancer,Stacking,2,39258.67578,543.17242
55.83,18.99,FICA4lung-cancer,LogitBoost,21,39258.69922,647.67859
40,13.68,FICA4lung-cancer,Vote,1,39258.69922,647.67859
51.67,17.62,FICA4lung-cancer,DecisionTable,8,39258.70703,652.68579
43.33,14.8,FICA4lung-cancer,JRip,5,39258.71094,652.68579
41.67,14.22,FICA4lung-cancer,OneR,1,39258.71484,652.68579
40,13.68,FICA4lung-cancer,ZeroR,3,39258.71484,161.01556
34.17,11.7,FICA4lung-cancer,PART,1,39258.71875,161.01556
50,17.05,FICA4lung-cancer,RandomCommittee,18,39258.73438,165.52939
47.5,16.18,FICA4lung-cancer,J48,3,39258.73828,165.52939
50.83,17.37,FICA4lung-cancer,LMT,134,39258.875,224.21497
38.33,13.18,FICA4lung-cancer,RandomForest,74,39258.94922,260.33234
44.17,15.05,FICA4lung-cancer,RandomTree,2,39258.94922,260.33234
35,11.99,FICA4lung-cancer,REPTree,1,39258.95313,260.33234
40.27,13.87,FICA4solar-flare,DecisionStump,116,0.16765,9.03078
27.26,9.42,FICA4solar-flare,LibSVM,679,0.8506,23.76891
68.09,23.23,FICA4solar-flare,MultilayerPerceptron,4901,5.75578,26.32915
65.3,22.31,FICA4solar-flare,Logistic,405,6.14836,26.51215
64.37,21.99,FICA4solar-flare,SimpleLogistic,1530,7.49114,48.95147
65.9,22.46,FICA4solar-flare,SMO,1759,8.98779,476.66211
65.03,22.18,FICA4solar-flare,IBk,76,9.07014,478.25949
62.85,21.47,FICA4solar-flare,KStar,741,9.81583,519.34033
64.99,22.18,FICA4solar-flare,LWL,321,10.13519,17.69365
59.06,20.21,FICA4solar-flare,BayesNet,94,10.23115,22.16965
60.07,20.54,FICA4solar-flare,NaiveBayes,66,10.30199,26.64574
60.07,20.54,FICA4solar-flare,NaiveBayesUpdateable,26,10.32998,31.12194
40.27,13.87,FICA4solar-flare,AdaBoostM1,33,10.36497,35.59798
68.7,23.44,FICA4solar-flare,Bagging,333,10.69048,69.63709
27.26,9.47,FICA4solar-flare,Stacking,29,10.73095,74.11312
66.5,22.7,FICA4solar-flare,LogitBoost,454,11.18082,268.1825
27.26,9.47,FICA4solar-flare,Vote,4,11.18676,269.07791
64.98,22.18,FICA4solar-flare,DecisionTable,214,11.39909,294.14966
65.92,22.49,FICA4solar-flare,JRip,254,11.655,348.76797
56.93,19.42,FICA4solar-flare,OneR,70,11.72693,350.55844
27.26,9.47,FICA4solar-flare,ZeroR,1,11.72984,351.45361
64.98,22.17,FICA4solar-flare,PART,437,12.16641,363.98917
64.69,22.08,FICA4solar-flare,RandomCommittee,316,12.4826,404.30005
63.75,21.76,FICA4solar-flare,J48,61,12.54682,412.35739
64.37,21.99,FICA4solar-flare,LMT,2634,15.18185,336.72397
66.88,22.82,FICA4solar-flare,RandomForest,985,16.16901,606.71576
62.53,21.33,FICA4solar-flare,RandomTree,11,16.18239,611.00092
64.66,22.08,FICA4solar-flare,REPTree,10,16.19321,615.28607
62.94,21.32,FICA4monk-problems-2,DecisionStump,4,16.20719,619.57123
63.73,21.54,FICA4monk-problems-2,LibSVM,346,16.55485,636.71698
62.55,21.18,FICA4monk-problems-2,MultilayerPerceptron,3151,19.70889,636.71698
63.73,21.58,FICA4monk-problems-2,Logistic,50,19.76036,649.57251
63.73,21.58,FICA4monk-problems-2,SimpleLogistic,569,20.32138,189.50989
63.73,21.54,FICA4monk-problems-2,SMO,62,20.38583,342.10236
65.88,22.3,FICA4monk-problems-2,IBk,31,20.41845,342.10236
61.96,21,FICA4monk-problems-2,KStar,2136,22.55709,446.03525
64.71,21.91,FICA4monk-problems-2,LWL,407,22.9653,498.0047
63.73,21.58,FICA4monk-problems-2,BayesNet,46,23.01239,505.42819
63.73,21.58,FICA4monk-problems-2,NaiveBayes,5,23.01888,505.42819
63.73,21.58,FICA4monk-problems-2,NaiveBayesUpdateable,5,23.02527,512.85168
62.75,21.26,FICA4monk-problems-2,AdaBoostM1,102,23.1307,535.12555
62.75,21.29,FICA4monk-problems-2,Bagging,186,23.31959,601.94708
63.73,21.58,FICA4monk-problems-2,Stacking,10,23.32994,601.94708
63.33,21.46,FICA4monk-problems-2,LogitBoost,80,23.40519,99.25826
63.73,21.58,FICA4monk-problems-2,Vote,2,23.40877,99.25826
63.73,21.58,FICA4monk-problems-2,DecisionTable,69,23.47866,136.59933
62.55,21.19,FICA4monk-problems-2,JRip,106,23.58585,168.78746
67.45,22.83,FICA4monk-problems-2,OneR,8,23.59489,176.83449
63.73,21.58,FICA4monk-problems-2,ZeroR,1,23.59712,176.83449
63.73,21.58,FICA4monk-problems-2,PART,5,23.60413,176.83449
71.76,24.37,FICA4monk-problems-2,RandomCommittee,361,23.96677,257.30573
63.73,21.58,FICA4monk-problems-2,J48,8,23.97596,257.30573
63.73,21.58,FICA4monk-problems-2,LMT,3657,27.63326,196.21295
71.18,24.14,FICA4monk-problems-2,RandomForest,1909,29.54455,654.58728
74.12,25.11,FICA4monk-problems-2,RandomTree,36,29.58092,664.83752
64.9,21.99,FICA4monk-problems-2,REPTree,23,29.6024,17.533
28.32,9.93,FICA4primary-turmor,DecisionStump,7,29.61372,17.533
24.79,8.67,FICA4primary-turmor,LibSVM,528,30.13632,52.17187
38.95,13.51,FICA4primary-turmor,MultilayerPerceptron,21627,51.78421,52.17187
40.4,14,FICA4primary-turmor,Logistic,3415,55.19386,433.20377
40.42,14.01,FICA4primary-turmor,SimpleLogistic,3065,58.27106,335.75027
33.36,11.62,FICA4primary-turmor,SMO,7044,64.92255,126.27945
32.74,11.39,FICA4primary-turmor,IBk,12,64.93779,128.36113
35.1,12.22,FICA4primary-turmor,KStar,889,65.82556,175.5062
31.02,10.87,FICA4primary-turmor,LWL,532,66.37064,203.16986
29.78,10.43,FICA4primary-turmor,BayesNet,20,66.3924,208.8559
38.64,13.41,FICA4primary-turmor,NaiveBayes,26,66.42368,224.91818
38.64,13.41,FICA4primary-turmor,NaiveBayesUpdateable,27,66.45378,240.9554
28.32,9.93,FICA4primary-turmor,AdaBoostM1,16,66.47204,248.21667
37.47,13.02,FICA4primary-turmor,Bagging,155,66.63003,308.49469
24.79,8.69,FICA4primary-turmor,Stacking,7,66.64015,314.32184
34.5,12.03,FICA4primary-turmor,LogitBoost,766,67.4034,669.62018
24.79,8.69,FICA4primary-turmor,Vote,3,67.40799,671.37762
28.01,9.83,FICA4primary-turmor,DecisionTable,102,67.51132,720.94745
34.24,11.89,FICA4primary-turmor,JRip,448,67.96095,224.25694
27.16,9.49,FICA4primary-turmor,OneR,5,67.96915,227.38133
24.79,8.69,FICA4primary-turmor,ZeroR,1,67.97223,227.38133
32.15,11.19,FICA4primary-turmor,PART,239,68.21368,274.78418
32.74,11.4,FICA4primary-turmor,RandomCommittee,262,68.47768,362.27197
33.93,11.79,FICA4primary-turmor,J48,70,68.55074,381.01898
40.71,14.11,FICA4primary-turmor,LMT,5599,74.15396,193.18243
34.81,12.13,FICA4primary-turmor,RandomForest,1647,75.80369,112.57561
31.25,10.88,FICA4primary-turmor,RandomTree,25,75.83075,123.05457
35.12,12.21,FICA4primary-turmor,REPTree,18,75.85087,123.05457
78.14,26.5,FICA4spambase,DecisionStump,58,75.9485,144.0125
60.68,20.52,FICA4spambase,LibSVM,21147,97.03917,356.32675
88.72,30.12,FICA4spambase,MultilayerPerceptron,27820,124.88402,378.12384
87.7,29.78,FICA4spambase,Logistic,703,125.59175,498.0278
87.68,29.77,FICA4spambase,SimpleLogistic,6336,131.9176,606.49231
85.18,28.87,FICA4spambase,SMO,267,132.17902,174.71402
89.2,30.26,FICA4spambase,IBk,1257,133.44012,186.45729
90.83,30.84,FICA4spambase,KStar,199073,332.60614,238.14987
78.46,26.65,FICA4spambase,LWL,39527,372.15167,590.43042
86.94,29.52,FICA4spambase,BayesNet,171,372.32755,628.10571
67.36,22.94,FICA4spambase,NaiveBayes,49,372.37045,653.2384
67.36,22.94,FICA4spambase,NaiveBayesUpdateable,59,372.44189,678.35529
80.48,27.35,FICA4spambase,AdaBoostM1,910,373.35138,251.41029
90.11,30.6,FICA4spambase,Bagging,1566,374.91248,666.9574
60.6,20.54,FICA4spambase,Stacking,66,374.987,88.05396
85.76,29.12,FICA4spambase,LogitBoost,578,375.55142,339.65137
60.6,20.54,FICA4spambase,Vote,10,375.56256,352.23987
86.63,29.42,FICA4spambase,DecisionTable,769,376.3353,578.84851
88.39,29.99,FICA4spambase,JRip,5172,381.49088,254.34247
77.03,26.1,FICA4spambase,OneR,55,381.54684,279.52014
60.6,20.54,FICA4spambase,ZeroR,5,381.55441,292.10895
88.02,29.89,FICA4spambase,PART,800,382.34692,367.64722
89.74,30.47,FICA4spambase,RandomCommittee,2427,384.7843,152.71094
89.05,30.22,FICA4spambase,J48,445,385.23206,229.19304
89.26,30.31,FICA4spambase,LMT,23353,408.56152,520.97113
91.55,31.09,FICA4spambase,RandomForest,15470,424.00113,95.7347
87.76,29.76,FICA4spambase,RandomTree,257,424.26083,134.86371
88.7,30.11,FICA4spambase,REPTree,186,424.44955,187.03387
46.67,15.94,FICA4prnn-virus3,DecisionStump,1,424.4523,187.03387
55.83,18.96,FICA4prnn-virus3,LibSVM,19,424.47348,187.03387
65,22.18,FICA4prnn-virus3,MultilayerPerceptron,385,424.84894,187.03387
57.5,19.63,FICA4prnn-virus3,Logistic,23,424.88266,187.03387
62.5,21.33,FICA4prnn-virus3,SimpleLogistic,90,424.97418,226.14572
65.83,22.37,FICA4prnn-virus3,SMO,195,425.16037,467.87976
73.33,24.93,FICA4prnn-virus3,IBk,1,425.16211,467.87976
78.33,26.67,FICA4prnn-virus3,KStar,10,425.16217,477.55048
59.17,20.23,FICA4prnn-virus3,LWL,3,425.17664,477.55048
51.67,17.67,FICA4prnn-virus3,BayesNet,3,425.18054,477.55048
56.67,19.36,FICA4prnn-virus3,NaiveBayes,1,425.18216,477.55048
56.67,19.36,FICA4prnn-virus3,NaiveBayesUpdateable,0,425.18381,477.55048
58.33,19.92,FICA4prnn-virus3,AdaBoostM1,9,425.18359,477.55048
60.83,20.78,FICA4prnn-virus3,Bagging,17,425.21182,487.22891
55.83,18.98,FICA4prnn-virus3,Stacking,4,425.21683,487.22891
66.67,22.71,FICA4prnn-virus3,LogitBoost,56,425.2692,636.17841
55.83,18.98,FICA4prnn-virus3,Vote,0,425.27084,636.17841
49.17,16.79,FICA4prnn-virus3,DecisionTable,11,425.27283,636.17841
55,18.72,FICA4prnn-virus3,JRip,8,425.29141,636.17841
53.33,18.13,FICA4prnn-virus3,OneR,0,425.29321,636.17841
55.83,18.98,FICA4prnn-virus3,ZeroR,0,425.29431,636.17841
56.67,19.33,FICA4prnn-virus3,PART,3,425.2977,636.17841
66.67,22.72,FICA4prnn-virus3,RandomCommittee,18,425.31653,645.84906
51.67,17.64,FICA4prnn-virus3,J48,2,425.3197,645.84906
62.5,21.32,FICA4prnn-virus3,LMT,132,425.4436,703.87305
67.5,23,FICA4prnn-virus3,RandomForest,103,425.55594,89.98473
56.67,19.3,FICA4prnn-virus3,RandomTree,1,425.55823,89.98473
43.33,14.81,FICA4prnn-virus3,REPTree,1,425.5603,89.98473
60.08,20.4,FICA4monk-problems-1,DecisionStump,6,425.56885,89.98473
58.56,19.84,FICA4monk-problems-1,LibSVM,472,426.04199,111.65409
68.73,23.35,FICA4monk-problems-1,MultilayerPerceptron,3388,429.43301,118.87657
66.2,22.48,FICA4monk-problems-1,Logistic,56,429.49005,133.32153
67.47,22.91,FICA4monk-problems-1,SimpleLogistic,634,430.12436,342.77737
66.92,22.67,FICA4monk-problems-1,SMO,87,430.21259,502.59235
72.86,24.68,FICA4monk-problems-1,IBk,24,430.23889,502.59235
78.23,26.59,FICA4monk-problems-1,KStar,2621,432.86292,625.38318
68.89,23.41,FICA4monk-problems-1,LWL,480,433.34396,683.17627
67.27,22.84,FICA4monk-problems-1,BayesNet,14,433.35876,690.3988
67.46,22.91,FICA4monk-problems-1,NaiveBayes,4,433.36548,697.62128
67.46,22.91,FICA4monk-problems-1,NaiveBayesUpdateable,6,433.37213,697.62128
67.63,22.96,FICA4monk-problems-1,AdaBoostM1,104,433.47424,84.9257
90.84,30.84,FICA4monk-problems-1,Bagging,129,433.60498,133.7319
49.64,16.88,FICA4monk-problems-1,Stacking,11,433.6174,141.86441
70.88,24.07,FICA4monk-problems-1,LogitBoost,79,433.69147,286.33173
49.64,16.88,FICA4monk-problems-1,Vote,2,433.69409,286.33173
67.98,23.08,FICA4monk-problems-1,DecisionTable,62,433.75644,318.86176
83.11,28.2,FICA4monk-problems-1,JRip,322,434.08075,473.38315
69.44,23.53,FICA4monk-problems-1,OneR,6,434.08777,473.38315
49.64,16.88,FICA4monk-problems-1,ZeroR,1,434.08942,473.38315
81.85,27.79,FICA4monk-problems-1,PART,70,434.16098,489.64972
96.22,32.68,FICA4monk-problems-1,RandomCommittee,188,434.35022,530.31415
90.3,30.65,FICA4monk-problems-1,J48,54,434.39417,546.57916
87.6,29.75,FICA4monk-problems-1,LMT,1190,435.5929,327.85825
96.76,32.85,FICA4monk-problems-1,RandomForest,1364,436.95999,640.40906
92.81,31.49,FICA4monk-problems-1,RandomTree,19,436.98026,649.33856
87.77,29.79,FICA4monk-problems-1,REPTree,13,436.98444,649.33856
Acc,SAR,Dataset,Algorithm,runTime,CPUtime,usedMemory
70,23.69,FICA4post-operation,DecisionStump,1,436.99692,649.33856
71.11,24.06,FICA4post-operation,LibSVM,29,437.0278,658.26813
64.44,21.86,FICA4post-operation,MultilayerPerceptron,710,437.73846,658.26813
68.89,23.37,FICA4post-operation,Logistic,18,437.75677,658.26813
70,23.67,FICA4post-operation,SimpleLogistic,155,437.91034,79.66842
71.11,24.08,FICA4post-operation,SMO,102,438.013,537.4458
65.56,22.2,FICA4post-operation,IBk,2,438.01553,537.4458
58.89,20.02,FICA4post-operation,KStar,53,438.06931,547.75049
70,23.69,FICA4post-operation,LWL,14,438.07391,547.75049
71.11,24.08,FICA4post-operation,BayesNet,3,438.0881,547.75049
70,23.71,FICA4post-operation,NaiveBayes,1,438.09021,547.75049
70,23.71,FICA4post-operation,NaiveBayesUpdateable,0,438.09216,547.75049
65.56,22.21,FICA4post-operation,AdaBoostM1,17,438.11044,558.06293
62.22,21.09,FICA4post-operation,Bagging,23,438.12476,568.36774
71.11,24.08,FICA4post-operation,Stacking,2,438.13855,568.36774
58.89,19.97,FICA4post-operation,LogitBoost,43,438.18066,706.87384
71.11,24.08,FICA4post-operation,Vote,1,438.18231,706.87384
71.11,24.08,FICA4post-operation,DecisionTable,20,438.19977,76.29289
70,23.7,FICA4post-operation,JRip,14,438.21454,76.29289
64.44,21.82,FICA4post-operation,OneR,2,438.21698,76.29289
71.11,24.08,FICA4post-operation,ZeroR,1,438.2182,83.44038
71.11,24.08,FICA4post-operation,PART,1,438.22031,83.44038
55.56,18.85,FICA4post-operation,RandomCommittee,38,438.25992,97.73537
71.11,24.08,FICA4post-operation,J48,2,438.26215,97.73537
70,23.67,FICA4post-operation,LMT,1186,439.44922,598.15143
64.44,21.86,FICA4post-operation,RandomForest,229,439.67886,676.79071
61.11,20.71,FICA4post-operation,RandomTree,4,439.68301,683.93817
71.11,24.08,FICA4post-operation,REPTree,2,439.68591,683.93817
90.74,30.75,FICA4sick-euthroid,DecisionStump,38,439.73529,691.08569
90.74,30.64,FICA4sick-euthroid,LibSVM,2783,442.51596,188.92484
92.03,31.23,FICA4sick-euthroid,MultilayerPerceptron,19154,461.67792,207.22238
91.12,30.91,FICA4sick-euthroid,Logistic,370,462.06155,289.5614
91.12,30.91,FICA4sick-euthroid,SimpleLogistic,4063,466.12253,301.01306
90.74,30.64,FICA4sick-euthroid,SMO,156,466.27142,473.25833
90.99,30.81,FICA4sick-euthroid,IBk,689,466.9718,483.69513
93.01,31.57,FICA4sick-euthroid,KStar,96733,563.75409,239.85645
90.74,30.78,FICA4sick-euthroid,LWL,18475,582.22577,230.87155
91.72,31.11,FICA4sick-euthroid,BayesNet,82,582.31116,265.69061
68.23,23.21,FICA4sick-euthroid,NaiveBayes,32,582.34601,279.62048
68.23,23.21,FICA4sick-euthroid,NaiveBayesUpdateable,32,582.3811,293.53943
90.74,30.77,FICA4sick-euthroid,AdaBoostM1,609,582.98944,84.27631
92.73,31.47,FICA4sick-euthroid,Bagging,780,583.77155,312.19623
90.74,30.65,FICA4sick-euthroid,Stacking,38,583.81085,345.69183
91.53,31.05,FICA4sick-euthroid,LogitBoost,371,584.17548,166.619
90.74,30.65,FICA4sick-euthroid,Vote,7,584.18341,172.88721
91.65,31.09,FICA4sick-euthroid,DecisionTable,477,584.66315,360.93347
91.05,30.82,FICA4sick-euthroid,JRip,1026,585.68213,83.5091
89.28,30.18,FICA4sick-euthroid,OneR,36,585.71942,100.83804
90.74,30.65,FICA4sick-euthroid,ZeroR,2,585.72412,106.61435
91.65,31.08,FICA4sick-euthroid,PART,231,585.95709,129.72256
91.59,31.07,FICA4sick-euthroid,RandomCommittee,1430,587.38635,77.17726
92.79,31.45,FICA4sick-euthroid,J48,156,587.54315,94.16679
92.79,31.48,FICA4sick-euthroid,LMT,8641,596.1568,79.78764
93.17,31.62,FICA4sick-euthroid,RandomForest,8463,604.58978,204.28085
90.67,30.7,FICA4sick-euthroid,RandomTree,135,604.73602,230.0773
91.81,31.13,FICA4sick-euthroid,REPTree,110,604.8432,93.11295
79.61,27,FICA4monk-problems-3,DecisionStump,5,604.85101,96.24334
51.99,17.6,FICA4monk-problems-3,LibSVM,445,605.29718,118.1655
86.11,29.21,FICA4monk-problems-3,MultilayerPerceptron,3354,608.65656,121.2959
76.9,26.11,FICA4monk-problems-3,Logistic,57,608.71417,133.81747
76.89,26.11,FICA4monk-problems-3,SimpleLogistic,635,609.34534,193.09328
79.43,26.92,FICA4monk-problems-3,SMO,99,609.44049,202.35431
96.92,32.92,FICA4monk-problems-3,IBk,21,609.45245,202.35431
96.92,32.92,FICA4monk-problems-3,KStar,2624,612.08453,163.69925
80.15,27.2,FICA4monk-problems-3,LWL,486,612.57141,225.58038
82.14,27.91,FICA4monk-problems-3,BayesNet,15,612.58734,232.4543
79.6,27,FICA4monk-problems-3,NaiveBayes,5,612.59381,234.74521
79.6,27,FICA4monk-problems-3,NaiveBayesUpdateable,6,612.60034,239.32709
79.43,26.99,FICA4monk-problems-3,AdaBoostM1,102,612.68927,97.6824
92.43,31.38,FICA4monk-problems-3,Bagging,119,612.82092,138.97141
