instan,classes,FSize,LCoef01,LCoef02,LCoef03,LCoef12,LCoef13,LCoef23,skew0,skew1,skew2,skew3,kurtosis0,kurtosis1,kurtosis2,kurtosis3,nCEntropy,entroC,toCorr,AdaBoostM1,Bagging,BayesNet,DecisionStump,DecisionTable,IBk,J48,JRip,KStar,LibSVM,LMT,Logistic,LogitBoost,LWL,MultilayerPerceptron,NaiveBayes,NaiveBayesUpdateable,OneR,PART,RandomCommittee,RandomForest,RandomTree,REPTree,SimpleLogistic,SMO,Stacking,Vote,ZeroR,CPUtime,CPUTime,CPUPred
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2523.67017,18.95391605,18.77218797
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.32837,18.95326716,18.77129972
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2523.60181,18.95378628,18.77201032
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2521.979,18.95070478,18.76779304
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.59595,18.95377516,18.77199509
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2524.25757,18.95503103,18.77371448
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.02295,18.95268728,18.770506
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2524.24805,18.95501296,18.77368974
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2523.7041,18.95398046,18.77227615
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2523.79224,18.95414778,18.7725052
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2523.76099,18.95408846,18.77242399
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2523.76221,18.95409077,18.77242716
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.58984,18.95376356,18.77197921
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.65576,18.9538887,18.77215052
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2521.91406,18.95058143,18.23162862
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524.05054,18.95463808,18.77317646
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.79565,18.95415425,18.77251406
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2523.28467,18.9531842,18.77118615
175,2,7.88,2.18E-15,-1.59E-16,-2.49E-16,-3.94E-16,-6.57E-17,-3.31E-16,0.278175767,0.069815064,-0.054777103,-0.310932051,-1.417305875,-0.77263164,-0.17130227,-0.492736539,0.288623555,0.647305998,5.739930964,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.5332,18.95365603,18.77183202
