"observed","predPCR","predPLS","Elastic","predRidge","predLasso","predSVM","predMars","predKNN"
18.950704775769,18.712246908886,16.7605454241228,17.6086085653999,17.1779029703601,17.362993360457,19.3987704811844,16.707922777553,18.5843624243622
18.9540907724077,18.7122468719596,17.5800382232638,17.6086085653999,17.8752706307044,17.830358990396,19.1416294367943,17.6962146320334,19.2351026653119
18.9537635562052,18.7122468885745,18.1258795008482,17.6086085653999,18.4136888519685,17.9070651290395,19.3477987885023,17.6962146320334,18.5889506843824
18.9531841971094,18.7122468602197,17.3374139590125,17.6086085653999,17.6469527325161,17.830358990396,19.4409527248789,17.6962146320334,18.5877539041317
18.9536560305426,18.7122468890722,17.4083487277278,17.6086085653999,17.6711547916369,17.830358990396,18.9312774962923,17.6962146320334,18.2747714943089
18.9539753745939,18.7122469067882,17.3948930828238,17.6086085653999,17.8858877203479,17.830358990396,19.1997760055656,17.6962146320334,19.4539519096425
18.9540513828792,18.7122469126086,17.6690097506323,17.6086085653999,17.8341523268238,17.830358990396,19.01106523541,17.6962146320334,18.5893493461153
18.9540977201242,18.7122468711979,17.2667348532506,17.6086085653999,17.5783433626676,17.830358990396,19.0080748689781,17.6962146320334,19.2570331242703
19.5873184904752,18.7138079055485,21.1110045875345,18.9503193548409,20.8859804633447,20.0499525643507,18.2945255063552,19.2546317734669,18.6054953406099
19.5866128402219,18.7138078496456,20.500332648809,18.9503193548409,20.5018055046258,19.8921930432865,20.1978602252089,19.2546317734669,19.2616674083368
19.581627181251,18.7138078894023,19.6370830858887,18.9503193548409,19.5828346374238,19.4248274133475,19.2884200176649,18.2663399189866,19.2471893476566
19.5870078501609,18.7138078931249,20.5455474123981,18.9503193548409,20.2390839938875,19.8921930432865,19.8466141776127,19.2546317734669,19.2624175043252
19.5870951231364,18.7138078524759,20.4565758850296,18.9503193548409,20.2802022977681,19.8921930432865,20.4665109230879,19.2546317734669,19.2625442129753
19.5873410302703,18.7138078474689,20.6859561190499,18.9503193548409,20.4397799450865,19.8921930432865,19.0369192881597,19.2546317734669,19.2630910270628
19.5894065593733,18.713807903565,21.0700690747604,18.9503193548409,20.9366473698239,20.1102695868855,19.7990090471831,19.2546317734669,19.2813639879242
19.5869264250505,18.7138078873045,20.2714307445897,18.9503193548409,20.2908193874116,19.8921930432865,20.505180370925,19.2546317734669,19.2622633178987
19.5870859221639,18.7138078498184,20.593556963056,18.9503193548409,20.3949092417847,19.8921930432865,19.6745014600729,19.2546317734669,19.2625229023247
18.9272107556662,18.7088986680272,19.938583373506,19.1640459639114,20.1012726699727,19.4310352306218,19.3201513987999,19.2448252813425,19.2891876829414
18.9027598511276,18.7088986114322,17.560839938098,18.6216672423206,17.9889928277718,18.0460277397483,19.1360140051516,17.8990327254086,19.2667389390998
18.9133021074271,18.7088986597046,19.228290591846,19.1640459639114,19.3863561992502,19.2129586870227,19.2150125003641,19.2448252813425,19.2753658206939
18.9233264665737,18.7088986700107,19.97951888628,19.1640459639114,20.0506057634934,19.3707182080869,19.1189998147037,19.2448252813425,19.2844597625187
18.9223099335152,18.7088986602792,19.8188219839299,19.1640459639114,19.8232936770665,19.2129586870227,19.6162262082806,19.2448252813425,19.2832479530944
36.1686531049133,18.6969634194407,28.2135086823739,27.2754760738295,28.6083812377854,27.9518284150161,34.2078517247817,33.9231759772219,18.0385360264908
36.1686701042059,18.69696342128,28.2389301044288,27.2754760738295,28.6929607808851,27.9518284150161,32.7086255337705,33.9231759772219,16.4583207917724
36.1696032620244,18.6969634233486,27.8818699706363,27.2754760738295,28.1744303059906,27.9518284150161,33.4316386876193,33.9231759772219,18.041228001203
