"observed","predPCR","predPLS","Elastic","predRidge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","predSVMR","predMars","predKNN"
18.950704775769,18.6878879006512,16.7162959044457,16.9986602016635,16.8255251896447,18.7099730400524,18.6916410914152,18.2030413610658,18.1657715009117,18.1124580792578,17.9516946931145,17.8878987211506,17.7198984617775,17.6854901011042,17.6838381364097,17.674691725443,17.6692270555587,17.656655748456,17.6612071790417,17.5892599563345,17.4515746726042,17.3880891069955,17.3510602843251,17.2796121544067,17.2690613414853,17.2456913665126,17.2080531042323,17.1976186556278,17.1924892740474,17.1738633888115,17.1478295910456,17.1328842246335,17.1264752666195,17.1162360885411,17.1147006197283,17.112868630179,17.1120923484157,17.1081642340667,17.1047376990487,17.0974198729804,17.0921462582779,17.0912829672037,17.0772441469779,17.0759884804953,17.0738255513328,17.0704840957633,17.0545896157156,17.0510446702454,17.0488490248003,17.0474800793969,17.0371916481369,17.0296636622548,17.0195582986481,17.0192979069034,17.0173718407287,17.0161291189433,17.0132546069283,17.0061184105864,16.972996621714,16.9612133667442,16.9591537811132,16.9566579155382,16.9381841933204,16.9372505629672,16.9309970766858,16.9309128583372,16.8784339354738,16.8773427959449,16.8252803990427,16.8193806472314,16.7771442271041,16.7771442271035,16.7771442269403,16.7771442269402,16.7771442269304,16.7771442269304,16.7771442269265,16.7771442269266,16.7771442269247,16.7771442269247,16.7771442269239,16.7771442269238,16.7771442269231,16.7771442269231,16.7771442269227,16.7771442269226,16.7771442269223,16.7771442269223,16.777144226922,16.777144226922,16.7771442269217,16.7771442269217,16.7771442269215,16.7771442269215,16.7771442269214,16.7771442269213,16.777144226921,16.7771442269209,16.7771442269208,16.7771442269193,18.9023750720082,19.1461527995344,18.4010269791821
18.9540907724077,18.6878878614897,17.4978143880046,17.5546027428747,17.5077330274955,18.7099730400524,18.6916410914152,18.2030413610658,18.1657715009117,18.1124580792578,17.9516946931145,17.8878987211506,17.7198984617775,17.6854901011042,17.6838381364097,17.674691725443,17.6692270555587,17.656655748456,17.6612071790417,17.6763418158454,17.6924866369672,17.702397931484,17.6979975514241,17.7062439661808,17.709022059992,17.7139970370191,17.7235434085818,17.7257270566731,17.7271099338274,17.7312144927889,17.7309599783451,17.7318887617056,17.7320022520517,17.7349701316844,17.7356182723829,17.7361819902969,17.7365210251694,17.73783657775,17.7387520357829,17.7413462663486,17.7429484525805,17.7445098386169,17.7662053453918,17.7683586466633,17.7713311881581,17.775042175584,17.7342659758826,17.7186689998499,17.709101046854,17.7031266552179,17.6577357502919,17.6244535475918,17.5907415963023,17.5890046788554,17.5797076103574,17.5697769761252,17.5635905203807,17.5599533155763,17.5361915061133,17.5305998237835,17.5303236076888,17.5290043967571,17.5156640639296,17.5149889569567,17.5121808885406,17.5121430134385,17.4886048884275,17.4879881745856,17.4647030213725,17.4620588598404,17.4431738908412,17.4431738908409,17.443173890768,17.4431738907679,17.4431738907635,17.4431738907635,17.4431738907618,17.4431738907618,17.443173890761,17.443173890761,17.4431738907606,17.4431738907606,17.44317389076,17.44317389076,17.4431738907599,17.4431738907598,17.4431738907597,17.4431738907597,17.4431738907596,17.4431738907596,17.4431738907595,17.4431738907595,17.4431738907594,17.4431738907594,17.4431738907594,17.4431738907594,17.4431738907592,17.4431738907592,17.4431738907592,17.4431738907587,18.5595228400418,19.1461527995344,17.9473043572664
18.9537635562052,18.6878878764789,17.8646376461967,18.1289272167331,17.9038082835984,18.7099730400524,18.6916410914152,18.2030413610658,18.1657715009117,18.1124580792578,17.9516946931145,17.8878987211506,17.7198984617775,17.6854901011042,17.6838381364097,17.674691725443,17.6692270555587,17.656655748456,17.6612071790417,17.6763418158454,17.6924866369672,17.702397931484,17.6979975514241,17.7062439661808,17.709022059992,17.7139970370191,17.7235434085818,17.7257270566731,17.7271099338274,17.7312144927889,17.7309599783451,17.7318887617056,17.7381398235682,17.7607594000551,17.7641228101617,17.7681014287532,17.7697891137652,17.7783508719026,17.7858365456082,17.8017895388671,17.8132639235495,17.8174174718964,17.8833303291848,17.8891296805906,17.8991071920672,17.9144727679136,17.9879854094348,18.0023497177606,18.0111115501493,18.0165818527377,18.0582723470799,18.0890485692324,18.1104537925244,18.112581695904,18.122840343275,18.1355292824148,18.1373938547219,18.1334227702308,18.1134580876424,18.1069933307497,18.1058621710172,18.104277515732,18.0927899811941,18.0922155606944,18.0889195711507,18.0888751452512,18.0605768538865,18.0599402704727,18.0318916307969,18.0287127149252,18.0059582465808,18.0059582465805,18.0059582464926,18.0059582464925,18.0059582464872,18.0059582464872,18.0059582464851,18.0059582464852,18.0059582464842,18.0059582464842,18.0059582464837,18.0059582464837,18.0059582464833,18.0059582464833,18.0059582464831,18.0059582464831,18.0059582464829,18.0059582464829,18.0059582464827,18.0059582464827,18.0059582464826,18.0059582464825,18.0059582464824,18.0059582464825,18.0059582464824,18.0059582464824,18.0059582464822,18.0059582464822,18.0059582464821,18.0059582464811,18.9173574002973,19.1461527995344,17.7824405503522
18.9531841971094,18.6878878661668,17.2122406567249,17.3820063066415,17.2871952353675,18.7099730400524,18.6916410914152,18.2030413610658,18.1657715009117,18.1124580792578,17.9516946931145,17.8878987211506,17.7198984617775,17.6854901011042,17.6838381364097,17.674691725443,17.6692270555587,17.656655748456,17.6612071790417,17.6763418158454,17.6924866369672,17.702397931484,17.6979975514241,17.7062439661808,17.709022059992,17.7139970370191,17.7235434085818,17.7257270566731,17.7200228508597,17.6993421827447,17.6700757655975,17.653257822552,17.6460487178167,17.6258872405703,17.6228560317951,17.6192502676444,17.6177215515633,17.6099882662884,17.6032382666352,17.5888648222489,17.5785119694801,17.5765875077604,17.5456441063283,17.5428916833863,17.5381505064404,17.5308327055095,17.495849748004,17.4866186621628,17.4809332369169,17.4773808854814,17.4504748641705,17.4306954087039,17.4109658769382,17.4099173267503,17.4048596227214,17.3986082103332,17.3930731493487,17.3884482127631,17.3598398086947,17.3526329649783,17.3515887173279,17.3494774312111,17.3333454015644,17.3325114745185,17.3286925223718,17.3286410798095,17.2984002291468,17.2973838990411,17.2675844454877,17.2642130509648,17.2400322829814,17.240032282981,17.2400322828876,17.2400322828875,17.2400322828819,17.2400322828819,17.2400322828797,17.2400322828797,17.2400322828786,17.2400322828786,17.2400322828782,17.2400322828781,17.2400322828777,17.2400322828777,17.2400322828775,17.2400322828774,17.2400322828772,17.2400322828773,17.2400322828769,17.2400322828769,17.2400322828768,17.2400322828767,17.2400322828766,17.2400322828767,17.2400322828766,17.2400322828766,17.2400322828764,17.2400322828764,17.2400322828763,17.2400322828755,19.1705340208486,19.1461527995344,18.9303737574409
18.9536560305426,18.687887875796,17.4642732979969,17.4455839910433,17.3918961023336,18.7099730400524,18.6916410914152,18.2030413610658,18.1657715009117,18.1124580792578,17.9516946931145,17.8878987211506,17.7198984617775,17.6854901011042,17.6838381364097,17.674691725443,17.6692270555587,17.656655748456,17.6612071790417,17.6763418158454,17.6924866369672,17.702397931484,17.6979975514241,17.7062439661808,17.709022059992,17.7139970370191,17.7235434085818,17.7257270566731,17.7271099338274,17.7312144927889,17.7309599783451,17.7318887617056,17.7320022520517,17.7349701316844,17.7312032015658,17.7267265170353,17.7248297483434,17.7152224802617,17.7068419085344,17.6889815759103,17.6761188196489,17.6740324076064,17.6405079331495,17.637521868457,17.6323777580461,17.6244527291047,17.5864598364236,17.5749557553095,17.5678859974879,17.5634695048414,17.5300073640968,17.5054581095204,17.4809224713961,17.4796236465701,17.4741700763025,17.4660515111608,17.4603459422678,17.4534733947043,17.4184366767626,17.4072776422385,17.405505182837,17.4028444746818,17.3825299863412,17.3814626761467,17.3752021494907,17.3751178245455,17.3265905278793,17.3256408334059,17.2774678955955,17.2720082846007,17.2329278637259,17.2329278637253,17.2329278635743,17.2329278635742,17.2329278635651,17.2329278635651,17.2329278635616,17.2329278635616,17.2329278635599,17.2329278635599,17.2329278635591,17.232927863559,17.2329278635584,17.2329278635584,17.232927863558,17.232927863558,17.2329278635577,17.2329278635577,17.2329278635574,17.2329278635574,17.232927863557,17.2329278635569,17.2329278635568,17.2329278635568,17.2329278635567,17.2329278635566,17.2329278635564,17.2329278635564,17.2329278635563,17.2329278635551,18.9527802779713,19.1461527995344,18.1911451384625
18.9539753745939,18.6878879120984,17.3840698732158,17.7589164385265,17.5842842050431,18.7099730400524,18.6916410914152,18.2030413610658,18.1657715009117,18.1124580792578,17.9516946931145,17.8878987211506,17.7198984617775,17.6854901011042,17.6838381364097,17.674691725443,17.6692270555587,17.656655748456,17.6612071790417,17.6763418158454,17.6924866369672,17.702397931484,17.6979975514241,17.7062439661808,17.709022059992,17.7139970370191,17.7235434085818,17.7257270566731,17.7271099338274,17.7312144927889,17.7309599783451,17.7318887617056,17.7320022520517,17.7349701316844,17.7356182723829,17.7361819902969,17.7365210251694,17.73783657775,17.7387520357829,17.7413462663486,17.7429484525805,17.7445098386169,17.7662053453918,17.7683586466633,17.7713311881581,17.775042175584,17.800749797475,17.8062820587291,17.8083924868551,17.8102952094791,17.8002175861221,17.7928503560041,17.7795815723065,17.7795072378108,17.7792821197467,17.7787772623768,17.7759158788837,17.7675115651851,17.729340742477,17.7154132198814,17.7132717682317,17.7105908320942,17.6888976372998,17.6877826802465,17.6801519088764,17.680049161227,17.6178727603805,17.6168519102054,17.5550277173951,17.5480260842895,17.4978659240057,17.497865924005,17.4978659238112,17.4978659238111,17.4978659237994,17.4978659237994,17.4978659237948,17.4978659237949,17.4978659237927,17.4978659237927,17.4978659237914,17.4978659237913,17.4978659237906,17.4978659237906,17.49786592379,17.49786592379,17.4978659237897,17.4978659237896,17.4978659237893,17.4978659237893,17.497865923789,17.4978659237889,17.4978659237887,17.4978659237887,17.4978659237886,17.4978659237885,17.4978659237883,17.4978659237882,17.497865923788,17.4978659237863,19.1810515525779,19.1461527995344,18.7313770695373
18.9540513828792,18.6878879014507,17.5673623292513,17.7028690650693,17.4651069713086,18.7099730400524,18.6916410914152,18.2030413610658,18.1657715009117,18.1124580792578,17.9516946931145,17.8878987211506,17.7198984617775,17.6854901011042,17.6838381364097,17.674691725443,17.6692270555587,17.656655748456,17.6612071790417,17.6763418158454,17.6924866369672,17.702397931484,17.6979975514241,17.7062439661808,17.709022059992,17.7139970370191,17.7235434085818,17.7257270566731,17.7271099338274,17.7312144927889,17.7309599783451,17.7318887617056,17.7320022520517,17.7349701316844,17.7356182723829,17.7361819902969,17.7365210251694,17.73783657775,17.7387520357829,17.7332428663598,17.7292709873589,17.7288997949023,17.722642809683,17.7220767184924,17.7211002815202,17.7195850326001,17.7124746900812,17.7127439090184,17.7128792443166,17.712967835079,17.7138006485803,17.7144918655108,17.7107517768282,17.7110250194418,17.711441587561,17.7134873143217,17.7110962153016,17.7077593941055,17.6860415195417,17.6809067273478,17.6802907449248,17.678825401145,17.6668972031312,17.6663072153664,17.6638944356504,17.6638619146176,17.6422937766384,17.641605630497,17.6203332266058,17.6157839485939,17.6006650562423,17.6006650562421,17.6006650561848,17.6006650561848,17.6006650561813,17.6006650561813,17.60066505618,17.60066505618,17.6006650561793,17.6006650561793,17.6006650561791,17.600665056179,17.6006650561788,17.6006650561788,17.6006650561786,17.6006650561786,17.6006650561785,17.6006650561785,17.6006650561784,17.6006650561784,17.6006650561783,17.6006650561783,17.6006650561782,17.6006650561782,17.6006650561782,17.6006650561782,17.6006650561781,17.6006650561781,17.600665056178,17.6006650561773,18.5829235243262,19.1461527995344,18.1741498905575
18.9540977201242,18.6878878596858,17.4057067267324,17.7334986970052,17.4360250309903,18.7099730400524,18.6916410914152,18.2030413610658,18.1657715009117,18.1124580792578,17.9516946931145,17.8878987211506,17.7198984617775,17.6854901011042,17.6838381364097,17.674691725443,17.6692270555587,17.656655748456,17.6612071790417,17.6763418158454,17.6924866369672,17.702397931484,17.6979975514241,17.7062439661808,17.709022059992,17.7139970370191,17.7235434085818,17.7257270566731,17.7271099338274,17.7312144927889,17.7309599783451,17.7318887617056,17.7320022520517,17.7349701316844,17.7356182723829,17.7361819902969,17.7365210251694,17.73783657775,17.7387520357829,17.7413462663486,17.7429484525805,17.7445098386169,17.7662053453918,17.7654536492289,17.7641670412873,17.76218419579,17.7525814762701,17.7532269853151,17.7535952241836,17.7538270403249,17.7556663266952,17.7571327478011,17.7488511496829,17.7494493689476,17.7528049116919,17.7561542124419,17.7549620079412,17.7438034810537,17.6980400966858,17.6792524443173,17.6762678312715,17.6731022146243,17.6471925043239,17.6458586307658,17.6354180391758,17.6352774314471,17.5501188723593,17.5489236807649,17.4641420418235,17.4545379830067,17.3857541113373,17.3857541113363,17.3857541110705,17.3857541110704,17.3857541110544,17.3857541110544,17.3857541110481,17.3857541110482,17.3857541110452,17.3857541110452,17.3857541110437,17.3857541110437,17.3857541110426,17.3857541110426,17.3857541110416,17.3857541110416,17.3857541110411,17.385754111041,17.3857541110405,17.3857541110405,17.3857541110402,17.3857541110401,17.3857541110397,17.3857541110397,17.3857541110395,17.3857541110395,17.3857541110391,17.385754111039,17.3857541110388,17.3857541110366,18.81747735669,19.1461527995344,18.4072007804993
19.5873184904752,18.6935427264471,20.7753363407287,20.1362403387302,20.3552790473687,18.7099730400524,18.6916410914152,18.3967127408384,18.3845978340292,18.3120265471977,18.129559948216,18.0819278024081,17.9742090151583,17.9479913402891,17.9586222240151,18.1153712358182,18.323353840549,18.9983165642529,19.0387546445386,19.1343554793446,19.3009137779151,19.3824875021949,19.4534005495711,19.5702088935434,19.5863799895762,19.6219055748972,19.6825736623623,19.6988201395746,19.7072498702304,19.7363964176515,19.7586472944743,19.7728625017765,19.7784910665669,19.8061358659856,19.8106032830042,19.8156165665754,19.8178628898775,19.8287016744874,19.8378382533559,19.8577900706166,19.8753735099324,19.8786102473074,19.9310695186536,19.9357977426687,19.9441222684592,19.9571381268374,20.0178780498355,20.0268129960959,20.0323063872692,20.0357523372203,20.060729380068,20.0789788479625,20.0801921447508,20.0820670936989,20.0914009621118,20.1024452766497,20.1127982512674,20.1229128710418,20.1820999460526,20.1980644695188,20.2030406782556,20.2097221785253,20.243963287574,20.2457233918327,20.2539304744416,20.254040887905,20.3199978443035,20.3222578302927,20.3872295696277,20.3944884446277,20.4473015409897,20.4473015409905,20.4473015411946,20.4473015411946,20.4473015412069,20.447301541207,20.4473015412118,20.4473015412118,20.447301541214,20.447301541214,20.4473015412152,20.4473015412152,20.447301541216,20.4473015412161,20.4473015412167,20.4473015412167,20.4473015412171,20.4473015412172,20.4473015412176,20.4473015412176,20.4473015412179,20.4473015412178,20.4473015412181,20.4473015412183,20.4473015412185,20.4473015412185,20.4473015412187,20.4473015412188,20.447301541219,20.4473015412209,16.2120467371727,19.8027019001301,18.3213842741977
19.5866128402219,18.6935426592572,20.5440002308171,20.2887839638813,20.2681418168347,18.7099730400524,18.6916410914152,18.3967127408384,18.3845978340292,18.3120265471977,18.129559948216,18.0819278024081,17.9742090151583,17.9479913402891,17.9586222240151,18.1153712358182,18.323353840549,18.9983165642529,19.0387546445386,19.1343554793446,19.3009137779151,19.3824875021949,19.4534005495711,19.5702088935434,19.5863799895762,19.6219055748972,19.6825736623623,19.6988201395746,19.7072498702304,19.7363964176515,19.7586472944743,19.7728625017765,19.7784910665669,19.8061358659856,19.8106032830042,19.8156165665754,19.8178628898775,19.8287016744874,19.8378382533559,19.8577900706166,19.8719492786554,19.8742646821594,19.9403175211093,19.9462411382083,19.9566344624795,19.9728584998733,20.0488892221938,20.0713966818774,20.0852159811785,20.0938559193635,20.158237161811,20.2054687059172,20.2287441847171,20.232521244651,20.2512413462228,20.2735282695761,20.2861760284079,20.2849724877095,20.3018991936174,20.2985570751237,20.2993699312102,20.3023470052802,20.3129366293596,20.3134930765542,20.3110971956119,20.311064839931,20.2889372951088,20.2896334038838,20.267080741623,20.2644228746383,20.2462288620923,20.246228862092,20.2462288620218,20.2462288620217,20.2462288620175,20.2462288620175,20.2462288620159,20.2462288620159,20.2462288620151,20.2462288620151,20.2462288620147,20.2462288620147,20.2462288620144,20.2462288620144,20.2462288620142,20.2462288620142,20.246228862014,20.2462288620141,20.2462288620139,20.2462288620139,20.2462288620138,20.2462288620137,20.2462288620137,20.2462288620137,20.2462288620137,20.2462288620136,20.2462288620135,20.2462288620135,20.2462288620134,20.2462288620126,19.057685547458,19.8027019001301,18.645963694604
