"dataset","instan","classes","FSize","LCoef01","LCoef02","LCoef03","LCoef12","LCoef13","LCoef23","skew0","skew1","skew2","skew3","kurtosis0","kurtosis1","kurtosis2","kurtosis3","nCEntropy","entroC","toCorr","Acc","SAR","Algorithm","runTime","CPUtime","usedMemory"
"PCA4bankrupt_qualitative",175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,"59.97","20.33","Stacking","4","2523.67017","252.15793"
"PCA4bankrupt_qualitative",175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,"94.84","32.2","IBk","5","2523.32837","199.33752"
"PCA4bankrupt_qualitative",175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,"97.71","33.2","NaiveBayesUpdateable","2","2523.60181","225.74731"
"PCA4bankrupt_qualitative",175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,"97.71","33.2","LibSVM","63","2521.979","521.50635"
"PCA4bankrupt_qualitative",175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,"97.16","33","BayesNet","5","2523.59595","225.74731"
"PCA4bankrupt_qualitative",175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,"96.57","32.8","REPTree","4","2524.25757","563.9447"
"PCA4bankrupt_qualitative",175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,"97.16","33","MultilayerPerceptron","1041","2523.02295","521.50635"
"PCA4bankrupt_qualitative",175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,"95.42","32.42","RandomForest","184","2524.24805","563.9447"
"PCA4bankrupt_qualitative",175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,"59.97","20.33","Vote","1","2523.7041","370.2619"
"PCA4bankrupt_qualitative",175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,"95.42","32.4","RandomCommittee","25","2523.79224","396.67215"
"PCA4bankrupt_qualitative",175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,"97.16","33.01","OneR","3","2523.76099","379.06509"
"PCA4bankrupt_qualitative",175,2,7.88,2.17777078454641e-15,-1.58906260421561e-16,-2.48595875945704e-16,-3.94345773694921e-16,-6.56557016438984e-17,-3.30847266068708e-16,0.278175766555239,0.0698150641914596,-0.0547771034271461,-0.310932050870912,-1.41730587500382,-0.772631639825635,-0.171302270443687,-0.492736539129956,0.288623554810642,0.647305997903957,5.73993096375054,"59.97","20.33","ZeroR","0","2523.76221","379.06509"
